Name,Tree,NodeId,Kind,NodeName,Description,MaxPoints,Threshold,PositionX,PositionY,Option1Name,Option1Description,Option2Name,Option2Description,Option3Name,Option3Description
Berserker_twoh_001,Berserker,twoh_001,basic,Wrath,"Two-handed weapons only. When you reach maximum Fury, enter a state of Wrath. While in Wrath your melee attacks deal +15% damage. Fury drains at 5 per second. Wrath ends when Fury reaches 0.",1,0,-320.0,410.0,,,,,,
Berserker_twoh_002,Berserker,twoh_002,basic,Momentum,"Two-handed weapons only. Each consecutive melee hit on the same target increases your damage by 3% per point up to 5 consecutive hits. While in Wrath, this bonus is gained twice as fast. Switching targets resets the bonus.",8,0,-480.0,290.0,,,,,,
Berserker_twoh_003,Berserker,twoh_003,basic,Skull Splitter,"Two-handed weapons only. +6% critical strike multiplier per point. While in Wrath, critical strikes drain an additional 3 Fury per hit in exchange for applying a 2-second armor reduction of 10% per point on the target. At 5 points: This armor reduction stacks up to 6 times instead of 4.",8,0,-320.0,290.0,,,,,,
Berserker_twoh_004,Berserker,twoh_004,basic,Cleave,Two-handed weapons only. Your melee attacks hit all enemies in a 180 degree arc in front of you. Arc width increases by 10 degrees per point. Each enemy hit beyond the first costs 5 Fury and generates 3 Fury per point if Fury was available to pay the cost.,6,0,-480.0,170.0,,,,,,
Berserker_twoh_005,Berserker,twoh_005,basic,Crusher,"Two-handed weapons only. +8% chance per point to stagger an enemy on melee hit, interrupting any action they were performing.",8,0,-320.0,170.0,,,,,,
Berserker_twoh_006,Berserker,twoh_006,basic,Brute Force,Two-handed weapons only. +10% damage per point against staggered enemies.,6,0,-640.0,50.0,,,,,,
Berserker_twoh_007,Berserker,twoh_007,basic,Death Blow,Two-handed weapons only. +5% critical strike chance per point on melee attacks against enemies below 25% HP.,8,0,-320.0,50.0,,,,,,
Berserker_twoh_008,Berserker,twoh_008,keystone,Overwhelming Force,"Two-handed weapons only. When you attack at maximum Fury, the force of the attack releases a shockwave that deals 30% of your attack damage per point to all enemies within 5 meters.",1,0,-640.0,-70.0,,,,,,
Berserker_twoh_009,Berserker,twoh_009,basic,Shatter,"Two-handed weapons only. Critical melee strikes reduce enemy armor by 5% per point for 5 seconds, stacking up to 4 times.",6,0,-480.0,-70.0,,,,,,
Berserker_twoh_010,Berserker,twoh_010,basic,Juggernaut,"Two-handed weapons only. +3% movement speed per point. At 5 points: You cannot be staggered, stunned, or knocked back while above 50% Fury.",8,0,-320.0,-70.0,,,,,,
Berserker_twoh_011,Berserker,twoh_011,basic,Titan's Grip,"Two-handed weapons only. While in Wrath, drain 4 additional Fury per second to increase all melee damage by +10% per point. This bonus is lost immediately if Wrath ends.",10,0,-640.0,-190.0,,,,,,
Berserker_twoh_012,Berserker,twoh_012,basic,Seismic Slam,"Two-handed weapons only. When you attack at maximum Fury, the shockwave from the attack travels along the ground dealing 30% per point of the hit's damage to all enemies in a line.",6,0,-480.0,-190.0,,,,,,
Berserker_twoh_013,Berserker,twoh_013,basic,Executioner,Two-handed weapons only. Melee attacks made at maximum Fury deal an additional +1% damage per point for every 1% of HP the target is missing.,10,0,-320.0,-190.0,,,,,,
Berserker_twoh_014,Berserker,twoh_014,basic,Wrecking Ball,"Two-handed weapons only. +5% AOE radius per point on all attacks. At 5 points: Enemies killed by AOE damage explode, dealing 20% of their max HP as damage to nearby enemies.",12,0,-640.0,-310.0,,,,,,
Berserker_twoh_015,Berserker,twoh_015,basic,Killing Blow,"Two-handed weapons only. +6% critical strike multiplier per point on melee attacks. At 10 points: when you attack at maximum Fury, all enemies below 25% HP are instantly killed.",12,0,-480.0,-310.0,,,,,,
Berserker_twoh_016,Berserker,twoh_016,basic,Warmonger,"Two-handed weapons only. While in Wrath, each enemy within melee range drains 3 additional Fury per second. For each enemy draining Fury this way, your melee damage is increased by +8% per point.",6,0,-320.0,-310.0,,,,,,
Berserker_twoh_ks_001,Berserker,twoh_ks_001,keystone,Colossus,"Two-handed weapons only. While in Wrath, using a movement skill triggers your Earthquake skill at your landing location at no cooldown cost. The damage and AOE radius of this Earthquake are scaled by your current Fury at the moment of landing — 100% potency at maximum Fury, scaling down to 25% potency at minimum Fury. All modifiers to your Earthquake skill apply normally.",1,0,-640.0,-430.0,,,,,,
Berserker_twoh_ks_002,Berserker,twoh_ks_002,keystone,Berserker's Rage,Two-handed weapons only. Effects that trigger at maximum Fury no longer drain your Fury when they fire.,1,0,-480.0,-430.0,,,,,,
Berserker_twoh_ks_003,Berserker,twoh_ks_003,keystone,Apex Predator,Two-handed weapons only. Killing an enemy with an attack made at maximum Fury instantly reduces all cooldowns by 50%,1,0,-320.0,-430.0,,,,,,
Berserker_dw_001,Berserker,dw_001,basic,Frenzy,"Dual wield only. When you reach maximum Fury, enter a state of Frenzy. While in Frenzy your attack speed is increased by 20% and all melee hits generate 2 additional Fury. Fury drains at 8 per second. Frenzy ends when Fury reaches 0.",1,0,320.0,410.0,,,,,,
Berserker_dw_002,Berserker,dw_002,basic,Flurry,Dual wield only. Every 5th consecutive melee attack triggers an additional offhand strike dealing 50% weapon damage per point.,8,0,480.0,290.0,,,,,,
Berserker_dw_003,Berserker,dw_003,basic,Weaving,"Dual wield only. Alternating main hand and offhand attacks increases damage by 2% per point up to 6 stacks. While in Frenzy, each alternating strike costs 3 Fury but the damage bonus per stack is doubled.",8,0,320.0,290.0,,,,,,
Berserker_dw_004,Berserker,dw_004,basic,Rend,"Dual wield only. Each melee hit reduces the target's damage reduction by 1% per point for 3 seconds, stacking up to 5 times. Stacks refresh on each hit. At 5 points: The stack cap is increased to 8.",8,0,640.0,170.0,,,,,,
Berserker_dw_005,Berserker,dw_005,basic,Relentless,"Dual wield only. While in Frenzy, every melee hit that does not crit still generates +1 Fury per point. Reduces the effective drain rate of Frenzy by rewarding consistent aggression.",6,0,480.0,170.0,,,,,,
Berserker_dw_006,Berserker,dw_006,basic,Open Wound,"Dual wield only. Critical melee strikes apply a wound to the target for 2 seconds per point. While wounded, the target takes +3% increased damage per point from all sources. Applying a new wound refreshes the duration.",6,0,640.0,50.0,,,,,,
Berserker_dw_007,Berserker,dw_007,basic,Dancing Blades,"Dual wield only. While in Frenzy, each unique enemy you have hit in the last 3 seconds drains 2 additional Fury per second and grants +6% damage per point against that enemy. Tracking ends if Frenzy ends.",6,0,320.0,170.0,,,,,,
Berserker_dw_008,Berserker,dw_008,basic,Feeding Frenzy,"Dual wield only. +0.3% life leech per point for each melee attack you have landed in the last 2 seconds, up to 10 attacks. While in Frenzy this cap is doubled.",8,0,480.0,50.0,,,,,,
Berserker_dw_009,Berserker,dw_009,basic,Rapid Fire,"Dual wield only. Each time you attack at maximum Fury your melee attack speed increases by 5% per point for 3 seconds, stacking up to 4 times.",6,0,320.0,50.0,,,,,,
Berserker_dw_010,Berserker,dw_010,basic,Flurry of Blows,"Dual wield only. +1% damage per point for each melee attack you have landed in the last 2 seconds, up to 10 attacks. Resets if you go 2 seconds without landing a hit. At 5 points: The tracking window is extended to 3 seconds.",8,0,640.0,-70.0,,,,,,
Berserker_dw_011,Berserker,dw_011,basic,Blur,Dual wield only. Each melee hit increases your movement speed by 2% per point for 4 seconds. Multiple hits refresh the duration and stack the bonus up to 5 times.,6,0,480.0,-70.0,,,,,,
Berserker_dw_012,Berserker,dw_012,basic,Frenetic,"Dual wield only. While in Frenzy, for every 10 Fury drained by the Frenzy state, automatically trigger a bonus strike at 20% weapon damage per point. These strikes can proc leech and critical strikes independently.",10,0,320.0,-70.0,,,,,,
Berserker_dw_013,Berserker,dw_013,basic,Death Strike,Dual wield only. Melee attacks against enemies below 20% HP deal bonus damage equal to +2% per point of the target's missing HP percentage. While in Frenzy this threshold is increased to 35%.,6,0,640.0,-190.0,,,,,,
Berserker_dw_014,Berserker,dw_014,basic,Hair-Trigger,"Dual wield only. While in Frenzy, your critical strike chance is increased by 2% per point. This bonus is doubled while above 75% Fury.",10,0,712.3459403529026,-247.9865317665414,,,,,,
Berserker_dw_015,Berserker,dw_015,basic,Unrelenting,Dual wield only. Killing an enemy refunds 20% of your maximum Fury per point up to a maximum of 60%.,6,0,480.0,-190.0,,,,,,
Berserker_dw_016,Berserker,dw_016,basic,Bloodlust,"Dual wield only. Killing an enemy increases your attack speed by 4% per point for 4 seconds, stacking up to 5 times. While in Frenzy kills also restore 5 Fury.",12,0,639.5256446460832,-310.6742619972853,,,,,,
Berserker_dw_017,Berserker,dw_017,basic,Carnage,"Dual wield only. Killing an enemy while in Frenzy extends the current Frenzy duration by 1 second per point, up to a maximum extension of 6 seconds. This can trigger multiple times per Frenzy.",6,0,480.0,-310.0,,,,,,
Berserker_dw_018,Berserker,dw_018,basic,Knife Dance,Dual wield only. Each automatic strike triggered by Frenetic generates 2 Fury per point.,6,0,320.0,-310.0,,,,,,
Berserker_dw_ks_001,Berserker,dw_ks_001,keystone,Whirlwind,Dual wield only. When you attack at maximum Fury the strike automatically becomes a spinning attack hitting all enemies within melee range. Each enemy hit generates 3 Fury. Enemies hit while you are at maximum Fury are knocked back and take 50% bonus damage.,1,0,640.0,-430.0,,,,,,
Berserker_dw_ks_002,Berserker,dw_ks_002,keystone,Unstoppable Force,"Dual wield only. Killing an enemy while in Frenzy immediately resets the Frenetic auto-strike timer. Additionally, entering Frenzy instantly triggers three bonus strikes at full damage.",1,0,322.008221770991,-429.75438133884103,,,,,,
Berserker_dw_ks_003,Berserker,dw_ks_003,keystone,Phantom Blades,Dual wield only. Each melee strike creates a phantasmal echo that replays the attack 0.75 seconds later at 60% damage. Phantom strikes can trigger leech and critical strikes independently but do not generate Fury.,1,0,480.4524424742495,-428.46701488081925,,,,,,
Berserker_crit_001,Berserker,crit_001,basic,Razor Mind,+4% critical strike multiplier per point on melee attacks. Critical strikes also generate +2 Fury per point. At 5 points: Critical strikes made while above 75% Fury generate double Fury from this effect.,8,0,0.0,170.0,,,,,,
Berserker_crit_002,Berserker,crit_002,basic,Precision,"+2% critical strike chance per point on melee attacks. While above 50% Fury, your critical strike chance is additionally increased by 1% per point.",8,0,160.0,50.0,,,,,,
Berserker_crit_003,Berserker,crit_003,basic,Glass Cannon,+8% critical strike multiplier per point on melee attacks. At 4 points: Your critical melee strikes ignore 20% of enemy resistances. Each point of Fury above your normal maximum (from any source) increases your critical strike multiplier by an additional 0.5% per point invested here.,6,0,160.0,-70.0,,,,,,
Berserker_crit_004,Berserker,crit_004,basic,Deathmark,"Critical strikes apply a Deathmark for 5 seconds. Applying a Deathmark costs 10 Fury, reduced by 1 per point. Marked enemies take +3% increased damage per point from all sources. If you have no Fury the mark still applies but deals no bonus damage.",6,0,0.0,-70.0,,,,,,
Berserker_crit_005,Berserker,crit_005,basic,Killing Rhythm,"+5% critical strike multiplier per point for each consecutive critical strike, up to 5 stacks. Missing a critical strike or your Fury reaching 0 resets the streak.",6,0,160.0,-190.0,,,,,,
Berserker_crit_ks_001,Berserker,crit_ks_001,keystone,Coup de Grace,Your critical strikes deal bonus damage equal to 2% of the target's missing HP. This bonus is tripled on attacks made at maximum Fury.,1,0,-160.0,-310.0,,,,,,
Berserker_crit_ks_002,Berserker,crit_ks_002,keystone,Hair Trigger,Critical strike chance past 100% is converted to critical strike multiplier at a 2:1 ratio.,1,0,160.0,-310.0,,,,,,
Berserker_leech_001,Berserker,leech_001,basic,Crimson Tide,+0.5% life leech per point on melee attacks. At 5 points: Life leech is applied instantly rather than over time. Every 10 Fury you spend or drain generates a heal equal to 0.5% per point of your maximum HP.,8,0,-160.0,170.0,,,,,,
Berserker_leech_002,Berserker,leech_002,keystone,Iron Will,Your maximum HP bonus from all sources also increases your maximum Fury by 1 point for every 2% maximum HP bonus you have.,1,0,-160.0,50.0,,,,,,
Berserker_leech_003,Berserker,leech_003,basic,Vital Strike,"+1% life leech per point on critical melee strikes only. Critical strike leech is not subject to the normal leech cap. Excess leech beyond your HP cap is stored and added as bonus Fury generation on your next hit, up to 10 Fury per point.",6,0,0.0,50.0,,,,,,
Berserker_leech_004,Berserker,leech_004,keystone,Undying,"When you would be reduced to 0 HP, if you have at least 50 Fury, you are instead reduced to 1 HP. All of your Fury is instantly spent, restoring HP equal to 5% of your maximum HP per 10 Fury spent.",1,0,-160.0,-190.0,,,,,,
Berserker_leech_005,Berserker,leech_005,basic,Sanguine,"+1% life leech per point on melee attacks. Each time you leech HP your Fury generation on the next hit is increased by 1 per point, stacking up to 5 times. Stacks reset if you go 2 seconds without leeching. At 4 points: The stack cap is increased to 10.",6,0,-160.0,-70.0,,,,,,
Berserker_leech_006,Berserker,leech_006,basic,Feast,+0.3% life leech per point for every 10 Fury you currently have. When your Fury reaches 0 for any reason you instantly leech 1% per point of your maximum HP.,10,0,0.0,-190.0,,,,,,
Berserker_leech_ks_001,Berserker,leech_ks_001,keystone,Vampiric Fury,Life leech now also restores Fury at a rate of 1 Fury per 2% of maximum HP leeched. Fury cannot be restored above maximum by this effect.,1,0,-320.0,530.0,,,,,,
Berserker_capstone_25,Berserker,capstone_25,capstone,First Oath,Unlocks at 25 points spent. Choose one of three oaths.,1,25,-909.4447618621665,810.8796031781528,Warlord,"Two-handed weapons only. While above 50% Fury, your melee attacks reduce the armor of all enemies within 5 meters by 15% for 3 seconds. This effect refreshes on each hit.",Opportunist,Dual wield only. Entering Frenzy immediately resets the cooldown of your movement skill.,Vital Strikes,"While above 50% Fury, all incoming damage is reduced by your current life leech percentage."
Berserker_capstone_50,Berserker,capstone_50,capstone,Second Oath,Unlocks at 50 points spent. Choose one of three oaths.,1,50,-909.4447618621665,570.8796031781528,Unstoppable,"Two-handed weapons only. While above 75% Fury you cannot be slowed, rooted, or knocked back.",Cut and Run,"Dual wield only. While in Frenzy, your movement speed is increased by 5% for each enemy within melee range.",Thrill of the Hunt,Your critical strike multiplier is increased by 1% for every 1% of HP you are currently missing.
Berserker_capstone_100,Berserker,capstone_100,capstone,Third Oath,Unlocks at 100 points spent. Choose one of three oaths.,1,100,-909.4447618621665,330.8796031781528,Titan,Two-handed weapons only. Your maximum HP is increased by 1% for every 2 points of maximum Fury you have.,Pure Carnage,"Dual wield only. While in Frenzy, critical strikes release a nova of force that deals 30% of the hit's damage to all enemies within melee range.",Crimson Pact,Your critical strike multiplier bonus is added to your life leech percentage. Your life leech percentage is added to your critical strike multiplier bonus.
Berserker_capstone_200,Berserker,capstone_200,capstone,Final Oath,Unlocks at 200 points spent. Choose one of three oaths.,1,200,-909.4447618621665,90.87960317815282,Ragnarok,"Two-handed weapons only. Your maximum Fury is doubled. While in Wrath, your attacks release shockwaves that deal 50% of the hit's damage to all enemies within 6 meters. Wrath no longer drains Fury passively.",Thousand Deaths,"Dual wield only. While in Frenzy, your attacks chain to one additional nearby enemy for 60% damage. Each kill during Frenzy permanently adds one additional chain target for the remainder of the Frenzy duration.",Eternal Hunger,Your life leech cap is removed entirely. Any HP restored by life leech beyond your maximum is added as overleech that decays at 1% per second. Life leech effectiveness is increased by 50%.
Bulwark_basic_trunk_000,Bulwark,basic_trunk_000,basic,Resolve,"Unlocks the Resolve resource. Resolve is generated by taking hits, blocking, and killing enemies. It decays slowly out of combat. Base Resolve is 100.",1,0,0.0,770.0,,,,,,
Bulwark_basic_trunk_001,Bulwark,basic_trunk_001,basic,Hardened Skin,+3% Armor per point.,8,0,-320.0,530.0,,,,,,
Bulwark_basic_trunk_002,Bulwark,basic_trunk_002,basic,Iron Constitution,+2% Maximum HP per point. At 5 points: Gain HP equal to 10% of your Armor value.,8,0,-320.0,410.0,,,,,,
Bulwark_basic_trunk_004,Bulwark,basic_trunk_004,basic,Bloody Minded,+4% HP Regen per point.,6,0,0.0,650.0,,,,,,
Bulwark_basic_trunk_008,Bulwark,basic_trunk_008,basic,Unyielding,+1.5% damage reduction per point (multiplicative).,8,0,-480.0,290.0,,,,,,
Bulwark_basic_trunk_003,Bulwark,basic_trunk_003,basic,Warbringer,+3% damage per point.,12,0,-160.0,650.0,,,,,,
Bulwark_basic_trunk_005,Bulwark,basic_trunk_005,basic,Battle Scars,+10% Maximum Resolve per point. At 8 points: Resolve no longer decays while you are in combat.,10,0,160.0,650.0,,,,,,
Bulwark_basic_trunk_007,Bulwark,basic_trunk_007,basic,Resolve Under Fire,+1 Resolve generated from taking hits per point. At 5 points: Taking a hit that would reduce you below 30% HP generates an additional 10 Resolve.,10,0,-160.0,530.0,,,,,,
Bulwark_basic_trunk_006,Bulwark,basic_trunk_006,basic,Tempered Steel,+2% Armor and +1% damage for every 25 Resolve currently held per point. At 6 points: These bonuses are doubled while at maximum Resolve.,8,0,0.0,530.0,,,,,,
Bulwark_keystone_trunk_001,Bulwark,keystone_trunk_001,keystone,Unbroken,You cannot be stunned while above 50 Resolve.,1,0,-150.76023868137105,296.74261997285373,,,,,,
Bulwark_keystone_trunk_002,Bulwark,keystone_trunk_002,keystone,Blood and Sweat,"Killing an enemy generates 1 Resolve, up to 5 per second.",1,0,320.0,290.0,,,,,,
Bulwark_keystone_trunk_003,Bulwark,keystone_trunk_003,keystone,Last Resort,"When you drop below 20% HP, instantly gain 50 Resolve. Can only trigger once every 60 seconds.",1,0,-480.0,-310.0,,,,,,
Bulwark_basic_trunk_009,Bulwark,basic_trunk_009,basic,Steeled Resolve,"While above 50 Resolve, gain +3% damage reduction per point. This bonus drains 5 Resolve per second while active. At 6 points: Reduces the drain rate to 2 Resolve per second.",6,0,-160.0,410.0,,,,,,
Bulwark_basic_ic_stem_001,Bulwark,basic_ic_stem_001,basic,Shield Mastery,+2% Block Chance per point. At 5 points: Blocking an attack generates 3 Resolve.,8,0,-480.0,50.0,,,,,,
Bulwark_basic_ic_stem_002,Bulwark,basic_ic_stem_002,basic,Iron Wall,+4% damage reduction on a successful block per point (multiplicative).,6,0,-640.0,-70.0,,,,,,
Bulwark_basic_ic_resolve_001,Bulwark,basic_ic_resolve_001,basic,Iron Will,"While above 75 Resolve, blocked attacks automatically negate all damage from that hit, draining 20 Resolve per block. Per point: reduces the Resolve drain by 2.",8,0,-480.0,-70.0,,,,,,
Bulwark_basic_ic_stem_003,Bulwark,basic_ic_stem_003,basic,Stalwart,+2% Armor per point while a shield is equipped.,8,0,-321.1486173512044,294.71983398099763,,,,,,
Bulwark_basic_ic_t2_001,Bulwark,basic_ic_t2_001,basic,Reinforced Guard,+3% Maximum HP per point while a shield is equipped.,6,0,-480.0,170.0,,,,,,
Bulwark_basic_ic_t1_001,Bulwark,basic_ic_t1_001,basic,Counter Stance,"+4% damage per point for 3 seconds after taking a hit. At 6 points: If you take two hits within 1 second, this bonus is doubled.",8,0,-800.0,-430.0,,,,,,
Bulwark_basic_ic_t2_002,Bulwark,basic_ic_t2_002,basic,Consecutive Blocks,"+2% damage reduction per successive block per point, stacking up to 5 times. Resets if you take an unblocked hit.",6,0,-640.0,-190.0,,,,,,
Bulwark_basic_ic_t1_002,Bulwark,basic_ic_t1_002,basic,Punishing Blow,+3% damage per point for 3 seconds after a successful block.,8,0,-960.0,-550.0,,,,,,
Bulwark_basic_ic_t2_003,Bulwark,basic_ic_t2_003,basic,Shield Slam,"+2% damage per point for every 10% Block Chance you have. At 6 points: Whenever you take a hit while your block streak is active, your next attack deals bonus flat damage equal to 5% of your Armor value.",8,0,-800.0,-310.0,,,,,,
Bulwark_basic_ic_stem_004,Bulwark,basic_ic_stem_004,basic,Aegis Strike,+3% damage per point for every 10% Block Chance you have.,10,0,-640.0,-550.0,,,,,,
Bulwark_basic_ic_t1_003,Bulwark,basic_ic_t1_003,basic,Unbreakable Will,+2% of blocked damage is added to your next attack per point. At 5 points: This bonus is tripled if you block 5 times without attacking.,8,0,-960.0,-670.0,,,,,,
Bulwark_basic_ic_stem_005,Bulwark,basic_ic_stem_005,basic,Resolve to Steel,+1% Block Chance per 10 Resolve currently held per point.,6,0,-406.3581617138485,-188.97800992054616,,,,,,
Bulwark_basic_ic_t3_001,Bulwark,basic_ic_t3_001,basic,Fortified Mind,"+3% Resolve generation from blocking per point. At 5 points: While at maximum Resolve, blocking deals 200 flat damage back to the attacker.",6,0,-320.0,-70.0,,,,,,
Bulwark_basic_ic_t3_002,Bulwark,basic_ic_t3_002,basic,Living Fortress,+2% damage reduction per point for each enemy within 3 meters (multiplicative). At 6 points: Also grants +1% Block Chance per nearby enemy.,8,0,-480.0,-190.0,,,,,,
Bulwark_basic_ic_final_001,Bulwark,basic_ic_final_001,basic,Indomitable,+2% of your total Block Chance is added as flat damage reduction per point (multiplicative).,10,0,-640.0,-670.0,,,,,,
Bulwark_keystone_ic_t1,Bulwark,keystone_ic_t1,keystone,Riposte,"After a successful block, if you have at least 25 Resolve, automatically unleash a counter-attack dealing damage equal to 75% of the damage just blocked, draining 25 Resolve. While at maximum Resolve this counter-attack also stuns the target for 1 second.",1,0,-960.0,-790.0,,,,,,
Bulwark_keystone_ic_t2,Bulwark,keystone_ic_t2,keystone,Unyielding Guard,"Every block within 3 seconds of the last increases Block Chance by 5% and generates 3 Resolve, stacking up to 4 times. Resets if you stop blocking for 3 seconds.",1,0,-640.0,-310.0,,,,,,
Bulwark_keystone_ic_t3,Bulwark,keystone_ic_t3,keystone,Eye of the Storm,"While 3 or more enemies are within 3 meters, you gain 10 Resolve per second and your Block Chance cannot be reduced below 30%.",1,0,-320.0,-310.0,,,,,,
Bulwark_keystone_ic_final,Bulwark,keystone_ic_final,keystone,The Last Bastion,"When you block an attack that would have killed you, instead survive at 1 HP, gain 100 Resolve, and become immune to damage for 2 seconds. Can only trigger once every 120 seconds.",1,0,-640.0,-790.0,,,,,,
Bulwark_basic_jg_stem_001,Bulwark,basic_jg_stem_001,basic,Meat Shield,"+4% Maximum HP per point. Each 1,000 Maximum HP above 5,000 increases your Resolve cap by 5.",12,0,160.0,530.0,,,,,,
Bulwark_basic_jg_stem_002,Bulwark,basic_jg_stem_002,basic,Ironblood,+50 flat HP Regen per second per point.,8,0,160.0,410.0,,,,,,
Bulwark_basic_jg_resolve_001,Bulwark,basic_jg_resolve_001,basic,Blood Tithe,"Lose 5 Resolve for every 100 flat HP regenerated. While above 50% Resolve, gain 50% Maximum HP. At 6 points: The Resolve cost is reduced to 1 per 150 HP regenerated.",6,0,160.0,290.0,,,,,,
Bulwark_basic_jg_t1_001,Bulwark,basic_jg_t1_001,basic,Immovable,"+2% damage reduction per point while you have not moved in the last 2 seconds. At 5 points: While stationary, your Resolve generation from taking hits is doubled.",8,0,0.0,170.0,,,,,,
Bulwark_basic_jg_stem_003,Bulwark,basic_jg_stem_003,basic,Crushing Presence,"+100 flat damage per point. Requires 5,000 Maximum HP to activate.",8,0,480.0,290.0,,,,,,
Bulwark_basic_jg_t1_002,Bulwark,basic_jg_t1_002,basic,Iron Mind,+15% crowd control duration reduction per point. Each crowd control effect applied to you generates 10 Resolve.,6,0,0.0,290.0,,,,,,
Bulwark_basic_jg_stem_004,Bulwark,basic_jg_stem_004,basic,Colossus,"+200 flat HP per point for every 10,000 Maximum HP you have. Requires 10,000 Maximum HP to activate.",8,0,320.0,410.0,,,,,,
Bulwark_basic_jg_t1_003,Bulwark,basic_jg_t1_003,basic,Dead Weight,+3% damage reduction per point while crowd controlled (multiplicative). At 4 points: Taking a crowd control effect retaliates with 500 flat damage.,6,0,0.0,50.0,,,,,,
Bulwark_basic_jg_t2_001,Bulwark,basic_jg_t2_001,basic,Dense Muscle,"+2% damage reduction per point for every 5,000 Maximum HP above 10,000 (multiplicative).",6,0,-160.0,-430.0,,,,,,
Bulwark_basic_jg_stem_005,Bulwark,basic_jg_stem_005,basic,Unstoppable Force,"+1% damage per point for every 1,000 Maximum HP above 10,000.",6,0,-160.0,-550.0,,,,,,
Bulwark_basic_jg_t2_002,Bulwark,basic_jg_t2_002,basic,Weight of the World,"+50 flat damage per point for every 5,000 Maximum HP you have. Requires 8,000 Maximum HP to activate.",8,0,-320.0,-670.0,,,,,,
Bulwark_basic_jg_t3_001,Bulwark,basic_jg_t3_001,basic,War of Attrition,"+2% damage per point for every 5 seconds in continuous combat, stacking up to 10 times.",12,0,0.0,-70.0,,,,,,
Bulwark_basic_jg_t2_003,Bulwark,basic_jg_t2_003,basic,Seismic Slam,+4% chance per point for melee attacks to deal bonus flat damage equal to 1% of your Maximum HP. At 5 points: This bonus damage hits all enemies within 2 meters.,8,0,-320.0,-790.0,,,,,,
Bulwark_basic_jg_t3_002,Bulwark,basic_jg_t3_002,basic,Grinding Advance,"+1% damage reduction per point for every 10 seconds in continuous combat (multiplicative), stacking up to 5 times. At 5 points: Combat duration stacks are lost 50% slower when leaving combat.",6,0,0.0,-190.0,,,,,,
Bulwark_basic_jg_final_001,Bulwark,basic_jg_final_001,basic,Walking Fortress,"+500 flat Maximum HP per point. At 6 points: For every 10,000 Maximum HP you have, gain 1% of your Maximum HP as flat damage reduction (multiplicative).",8,0,160.0,170.0,,,,,,
Bulwark_keystone_jg_t1,Bulwark,keystone_jg_t1,keystone,Immovable Object,"While above 15,000 Maximum HP, you are immune to all crowd control effects. Enemies that attempt to crowd control you instead take 500 flat damage.",1,0,0.0,-310.0,,,,,,
Bulwark_keystone_jg_t2,Bulwark,keystone_jg_t2,keystone,Mountain's Wrath,"Once every 10 seconds, your next attack deals bonus damage equal to 5% of your Maximum HP as flat damage. Requires 20,000 Maximum HP to activate.",1,0,-320.0,-910.0,,,,,,
