Name,CataclysmType,ModifierName,Weight,Description
Chaos_Rule_of_Chaos,Chaos,Rule of Chaos,15.0,"The normal rules of the game are suspended within these dungeons. Gameplay mechanics and systems become randomized or altered, challenging players to adapt on the fly. This could involve changes to character attributes, skill behavior, or even unconventional victory conditions."
Chaos_Chaos_Touched,Chaos,Chaos Touched,15.0,"Every floor, a random buff or debuff is added to the player. These do not have the normal time limits and will continue to stack unless cleansed."
Chaos_Chaotic_Loot,Chaos,Chaotic Loot,10.0,"Items dropped by enemies have randomized stats within a wide range, making each piece potentially extremely valuable or useless."
Chaos_Pandora_s_Box,Chaos,Pandora's Box,10.0,"Random chests appear throughout the dungeon. Opening them can either grant powerful rewards or unleash waves of chaos-spawned enemies, forcing players to gamble on their luck."
Chaos_Trick_or_Treat,Chaos,Trick or Treat,10.0,Picking up loot spawns additional enemies or applies temporary buffs to the player.
Chaos_Unstable_Dimensions,Chaos,Unstable Dimensions,10.0,"Every time you clear a floor, the very fabric of the dungeon warps. A new ""reality"" is imposed, granting a new, random modifier to all enemies on the next floor. This could range from ""All enemies are immune to fire damage"" to ""All enemies drop 100% more gold."" The randomness will force players to be agile and adapt on the fly."
Chaos_Volatile_Evolution,Chaos,Volatile Evolution,10.0,Enemies have a chance to mutate into higher rarity mobs once they drop below 75% hp.
Chaos_Wild_Magic,Chaos,Wild Magic,10.0,Casting a skill has a 5% chance to trigger the effect of a random different skill from your class tree.
Chaos_The_Labrynth,Chaos,The Labrynth,5.0,Dungeon rooms rearrange themselves periodically. Players might find paths they already cleared are now blocked or redirected.
Chaos_Echo_Chamber,Chaos,Echo Chamber,5.0,"Every time you use an ability, a ghostly copy of that ability is fired in a random direction. The copy can hit enemies, but it can also hit you, dealing a small amount of damage. This creates a new layer of risk/reward to using skills."
Chaos_Illusory_Enemies,Chaos,Illusory Enemies,5.0,Some enemies are illusions. They look and act like real enemies but do no damage.
Chaos_Reality_Rifts,Chaos,Reality Rifts,5.0,"The fabric of reality is unstable in Chaos Lord dungeons, leading to the creation of temporary portals or rifts. Players can use these rifts strategically to teleport, gain buffs, or access hidden areas."
Death_The_Reaper,Death,The Reaper,20.0,"The embodiment of death slowly stalks the player. If they are hit by his scythe, they instantly die."
Death_Echoes_of_the_Past,Death,Echoes of the Past,15.0,Spectral versions of enemies killed on the previous floor appear and repeat their final attacks before vanishing.
Death_Mortal_Decay,Death,Mortal Decay,15.0,"The Death cataclysm introduces an affliction of mortal decay, gradually sapping the player's life force as they progress through the dungeon. To counter this, the player must give death his due souls by reaping enemies to temporarily slow the effect of the affliction."
Death_Cryptquake,Death,Cryptquake,5.0,"Sections of the floor collapse into pits of bones, forcing new routes and spawning skeletal swarms from below."
Death_Dead_Rising,Death,Dead Rising,10.0,Enemies have a chance to revive after being killed.
Death_Death_s_Embrace,Death,Death's Embrace,10.0,"Players periodically gain stacks of a debuff called ""Embrace of Death,"" which reduces healing received. Stacks reset when entering a new floor."
Death_Dirge_Resonance,Death,Dirge Resonance,10.0,"Distant funeral music plays; when it crescendos, all enemies gain haste and fear immunity for 10 seconds."
Death_Funereal_Procession,Death,Funereal Procession,5.0,A slow-moving line of spectral pallbearers moves through the dungeon; contact causes heavy damage and fear.
Death_Grave_Tide,Death,Grave Tide,10.0,Waves of undead periodically rise from the ground and flood the dungeon. These waves grow stronger and more numerous the longer players remain on a floor.
Death_Grim_Totems,Death,Grim Totems,5.0,"Throughout the dungeons, players encounter grim totems emanating dark energy. Interacting with these totems offers a choice between embracing their malevolent power or dispelling them to cleanse the area. Embracing the power of the totems grants temporary bonuses but may also trigger more difficult enemy spawns or curses. Cleansing the totems purifies the environment, removing harmful effects and weakening nearby enemies."
Death_Necrotic_Bloom,Death,Necrotic Bloom,10.0,"Cursed flowers sprout in random areas; if not destroyed, they spawn waves of undead every 20s."
Death_Obsidian_Sarcophagi,Death,Obsidian Sarcophagi,10.0,"Indestructible coffins pulse with death magic, granting enemies in range bonus damage and resistance. Once enough nearby enemies have been slain, a Vampire Lord erupts from the coffin to kill the player."
Death_Soul_Chains,Death,Soul Chains,10.0,Certain sections of the dungeon are lined with ethereal chains that bind the souls of trapped adventurers. Players must release these souls by defeating specific enemies. Freeing the souls may grant rewards or open up new paths.
Death_Vengful_Wraiths,Death,Vengful Wraiths,10.0,"Enemies have a 10% chance of turning into wraiths when killed. Wraiths have 90% damage reduction, 20% increased damage, movespeed, and attack speed. In their death they are fueled by rage towards the one who killed them and will hunt them across the entire dungeon."
Death_Necrotic_Ground,Death,Necrotic Ground,10.0,The dungeon floor is covered in a spreading necrotic fog. The fog deals damage over time and reduces your healing effectiveness by 50% while standing in it. Enemies standing in the fog regen their health at 10%/s.
Demonic_Infernal_Brand,Demonic,Infernal Brand,20.0,"Hitting an enemy applies a stack of 'Brand' to you. At 20 stacks, you erupt in a fire nova that deals 20% of your max HP to you and nearby allies."
Demonic_Blood_Bond,Demonic,Blood Bond,20.0,You are soul-linked to the first elite you see on each floor. This enemy cannot die unless you do and is immune to your damage.
Demonic_Infernal_Rain,Demonic,Infernal Rain,10.0,"Fireballs rain in combat zones, leaving patches of burning ground that deal fire damage over time for 10 seconds."
Demonic_Abyssal_Rifts,Demonic,Abyssal Rifts,10.0,"Portals to the Abyss open up, unleashing waves of demonic creatures. Players must close these rifts by defeating waves of enemies within a given time limit. The difficulty and rewards increase with each successfully closed rift."
Demonic_Blood_Altar,Demonic,Blood Altar,15.0,Slaying enemies contributes to the blood altar. The altar sends out damaging pulses that grow stronger with the number of enemies slain.
Demonic_Blood_Gates,Demonic,Blood Gates,10.0,Doors leading to the next level in a dungeon are sealed shut until the player has slain enough enemies to open them
Demonic_Blood_Price,Demonic,Blood Price,5.0,"Interacting with chests, shrines, or levers costs a percentage of current HP. Gain a permanent, uncleansable stack of bleed each time."
Demonic_Demonic_Guide,Demonic,Demonic Guide,10.0,Player's are chained to a demonic guide. Straying too far from their guide will cause the player to take increased damage.
Demonic_Hellfire,Demonic,Hellfire,10.0,Enemies have a chance to explode in hellfire when killed.
Demonic_Infernal_Beacons,Demonic,Infernal Beacons,10.0,Each floor contains an Infernal Beacon. Enemies in the dungeon gain a stacking power score buff per beacon activated while the player gains a stacking magic find buff.
Demonic_Infernal_Seals,Demonic,Infernal Seals,10.0,The door on each floor is locked by a particular seal. The seals are held by powerful enemies on each floor and the player must collect all 4 pieces of the seal in order to unlock the door to the next floor.
Demonic_Pact_of_Temptation,Demonic,Pact of Temptation,5.0,Players are offered pacts by the dungeon at the end of each floor. Accepting a pact grants a powerful buff for the floor but applies a curse for the rest of the dungeon.
Demonic_Soul_Harvest,Demonic,Soul Harvest,10.0,"Defeated enemies release demonic souls that empower other enemies nearby. Souls float toward the nearest demon, granting increased health, damage, and resistances."
Demonic_Demon_Prince,Demonic,Demon Prince,5.0,"Occassionally when you slay an enemy, a demonic prince will rip out through it's corpse and attack you."
Famine_Scarcity,Famine,Scarcity,15.0,"At the start of each floor, a random equipment slot (excluding weapons) has its stats and enchantments disabled for that floor."
Famine_Desperate_Measures,Famine,Desperate Measures,10.0,"When your Mana falls below 10%, your skills cost 5% of your current Health to cast instead of Mana."
Famine_Dehydration,Famine,Dehydration,15.0,Each floor the player's maximum resource is reduced by 1%.
Famine_Diminishing_Returns,Famine,Diminishing Returns,10.0,"Potions lose effectiveness over time, forcing players to find new resources or adapt their playstyle."
Famine_Famished_Beasts,Famine,Famished Beasts,10.0,"Enemies actively seek out and consume dropped items, denying players their rewards and getting stronger with each item eaten."
Famine_Hard_Mode,Famine,Hard Mode,20.0,Players cannot use potions in this dungeon.
Famine_Luxury_Hoarders,Famine,Luxury Hoarders,5.0,Certain rooms contain elites or mini-bosses guarding piles of resources. Players must choose whether to expend resources fighting for potential rewards.
Famine_Ravenous_Hoard,Famine,Ravenous Hoard,15.0,"Enemies in the dungeon grow stronger the longer they remain alive, as their desperation turns into aggression."
Famine_Recession,Famine,Recession,5.0,Potions take 4x as many kills to fill.
Famine_Starvation,Famine,Starvation,20.0,Each floor the players's maximum hp and energy shield are reduced by 1%. Up to 60%.
Famine_Starvation_Curse,Famine,Starvation Curse,10.0,"Each new floor adds a starvation debuff, such as slower movement or reduced max health. These debuffs persist unless cleansed."
Famine_Suffering_Aura,Famine,Suffering Aura,10.0,"The dungeon passively saps the player’s resources (e.g., health, mana, stamina) at a slow but constant rate."
Famine_Swarm_of_Locusts,Famine,Swarm of Locusts,10.0,"Periodically, swarms of locusts sweep through the dungeon, obscuring vision and dealing continuous damage. Players must find shelter or use specific abilities to survive the swarm."
Famine_Withering_Touch,Famine,Withering Touch,15.0,Enemies have a chance to inflict a stacking debuff that reduces your max HP and max mana. This debuff is permanent for the duration of the dungeon and can only be removed by defeating a floor boss.
Famine_Withered_Ground,Famine,Withered Ground,5.0,"Enemies leave patches of Barren Earth on death. While standing on it, your Health and Mana recovery (regen/leech) is reduced by 80%."
Pestilence_Plague_Convergence,Pestilence,Plague Convergence,20.0,"If players spend too long on a floor, the dungeon begins to ""converge"" on them. Hordes of enemies will spawn continuously, all carrying highly contagious diseases that stack exponentially with every hit. The only way to stop the convergence is to complete objectives quickly and descend to the next floor."
Pestilence_The_Plaguebearer,Pestilence,The Plaguebearer,15.0,"One random elite on each floor is a ""Plaguebearer."" This enemy doesn't directly attack you, but it constantly applies a stacking disease debuff to all other enemies in the dungeon. The Plaguebearer's debuff increases the damage of other enemies by 5% per stack, to a maximum of 10 stacks. The Plaguebearer will flee when you get close, forcing you to hunt it down to make the rest of the floor manageable."
Pestilence_Fungal_Overgrowth,Pestilence,Fungal Overgrowth,5.0,Killing enemies creates mushrooms. Stepping on them grants either a 50% speed boost or a 50% slow.
Pestilence_Carrion_Feast,Pestilence,Carrion Feast,10.0,"Rotting carcasses attract swarms of carrion feeders that consume the bodies, growing stronger and more numerous with each corpse. Players can prevent this by burning bodies with fire-based abilities or finding ""purification altars"" to consecrate the area."
Pestilence_Contagious_Touch,Pestilence,Contagious Touch,10.0,"Enemies no longer deal damage on contact. Instead, they apply a stacking ""Contagion"" debuff. When you hit an enemy, you take a percentage of their total health as damage for every stack of the debuff. The only way to remove the debuff is to kill the enemy that applied it."
Pestilence_Epidemic,Pestilence,Epidemic,10.0,"When you kill a diseased enemy, there is a 25% chance for the disease to spread to a nearby enemy, applying all of the dead enemy's remaining debuffs. If the disease spreads 5 times in a single chain, all nearby enemies are instantly killed, but a powerful ""Plague Lord"" will spawn to attack you."
Pestilence_Infection_Bloom,Pestilence,Infection Bloom,15.0,"Certain areas of the dungeon are overtaken by massive, living ""Infection Blooms,"" grotesque, pulsating masses of diseased flesh and tendrils. These blooms slowly spread across the environment, corrupting the terrain and empowering nearby enemies. If left unchecked, they release waves of plague-ridden creatures that swarm players. Destroying the bloom halts its spread and weakens affected enemies, but the destruction also triggers a final surge of toxic spores or pestilent minions as a last defense."
Pestilence_Infested_Veins,Pestilence,Infested Veins,10.0,"Living tunnels and walls pulsate with veins of infectious growths that create a toxic environment. Players can choose to destroy these veins to temporarily cleanse the area, but destroying too much summons toxic ""guardians"" from the infection."
Pestilence_Leech_Spores,Pestilence,Leech Spores,10.0,"When you kill an enemy, a cloud of Leech Spores explodes from their corpse. If you come into contact with the spores, a small portion of your health is drained and used to heal any enemies within a 10-meter radius. This forces the player to manage their positioning after every kill, a critical strategic element."
Pestilence_Pestilent_Empowerment,Pestilence,Pestilent Empowerment,10.0,Players must find and destroy the plague beacons on each floor if they want to lower the power of enemies on later floors.
Pestilence_Plague_Harbingers,Pestilence,Plague Harbingers,10.0,"Certain enemies act as ""Harbingers"", spreading disease trails wherever they walk. These trails linger, damaging players who cross them and amplifying nearby enemy stats. Killing Harbingers cleanses the trails and weakens nearby enemies."
Pestilence_Quarantine_Breach,Pestilence,Quarantine Breach,5.0,"Groups of monsters containing highly infectious diseases have been frozen in time in order to prevent the diseases they carry from spreading. Players can choose to break the containment to fight these enemies for great rewards, but doing so risks spreading the infection further."
Pestilence_Raw_Sewage,Pestilence,Raw Sewage,10.0,"The dungeon is an actual cesspool, filled with rivers of toxic waste that will spread disease stacks to the player. These disease stacks do not time out and must be cleansed."
Pestilence_Spore_Clouds,Pestilence,Spore Clouds,10.0,Enemies have a chance to release spores on death that poison the player.
Pestilence_The_Infested_Hoard,Pestilence,The Infested Hoard,5.0,"All enemies have a chance to drop infested gold and items. Picking up infested loot will apply a stack of ""Infestation"" that drains your health over time. However, the more stacks you have, the higher your chance of finding more infested loot. It's a risk/reward system where you must weigh the benefits of a huge haul against the dangerous health drain."
Void_The_Blackest_Shadow,Void,The Blackest Shadow,20.0,"The dungeon is pitch black. A single, small orb of light follows the player, but it is not enough to illuminate the entire dungeon. Enemies that are not in the light are completely invisible, and they gain a permanent ""Invisible Stalker"" buff that grants them 100% more damage and 50% faster attack speed."
Void_Singularity_Wells,Void,Singularity Wells,15.0,"Pulsing void orbs pull players and projectiles toward them, dealing void damage and slowing movement by 40%."
Void_All_Consuming,Void,All Consuming,10.0,"Enemies that the player kills aren't forgotten, instead a portion of their stats are fed back into the void to fuel the final boss of the dungeon."
Void_Anti_Magic_Zones,Void,Anti-Magic Zones,10.0,"Certain areas in the Void dungeons nullify magical abilities, forcing players to rely on their physical skills and adapt to the environment."
Void_Insanity_Bursts,Void,Insanity Bursts,15.0,"Prolonged exposure to the Void's influence triggers bursts of insanity, causing players to lose control over their abilities, attack allies, or experience debilitating effects. Players must regain composure or rely on teamwork to overcome these moments of chaos"
Void_Mind_Shattering_Illusions,Void,Mind-Shattering Illusions,10.0,"The Void manipulates perception, creating hallucinations and phantasmal enemies that can harm or disorient players. They must discern reality from illusion, navigate through treacherous encounters, and maintain their sanity."
Void_Portal_Unleashing,Void,Portal Unleashing,10.0,The dungeon is riddled with unstable portals that periodically spawn twisted abominations from the void. Players must swiftly dispatch these creatures before they overwhelm the party.
Void_Shadowy_Enemies,Void,Shadowy Enemies,15.0,Void dungeons could be infested with shadowy enemies that can only be harmed when exposed to light. Players must use their abilities or environmental factors to illuminate and weaken these foes.
Void_The_Nihil_s_Embrace,Void,The Nihil's Embrace,15.0,"The dungeon is filled with a constant, humming void energy. As you move, your resistances are slowly and permanently reduced. To cleanse the effect, you must defeat a high tier enemy. The boss's defeat will restore all of your resistances and grant a temporary buff."
Void_Those_in_the_Dark,Void,Those in the Dark,20.0,"The dungeon has chasms spread throughout leading to the abyss. If the player falls into them, they fall down into the void realm where dangerous enemeis lurk. The player will have to fight their way out in order to get back to the main dungeon and surviving will bring great rewards."
Void_Void_Parasite,Void,Void Parasite,10.0,"Every enemy you kill has a chance to spawn a parasitic voidling. If the voidling reaches you, it will attach to you and siphon your power, reducing your damage, resistances, and movement speed. The voidling can be removed by standing in a ""light"" zone, but these are rare."
Void_Grasping_Tentacles,Void,Grasping Tentacles,5.0,"Void tentacles appear all over the dungeon. The player will have to be careful of getting too close or they might be grabbed, restricting their movement."
War_Supply_Lines,War,Supply Lines,20.0,"A supply cart must be escorted to the end of the dungeon. If the cart is destroyed, you lose."
War_Royal_Guard,War,Royal Guard,10.0,"When an above Uncommon ranked enemy drops below 30% health, there is a 50% chance they summon two guards of the next higher rank."
War_Forced_March,War,Forced March,5.0,"You take stacking damage if you stand still for >3s. It forces a ""run and gun"" playstyle."
War_Battlefield_Relics,War,Battlefield Relics,10.0,"Scattered throughout the dungeon are ancient relics of war that can be activated to give powerful but temporary buffs. However, activating a relic also summons the spirits of fallen warriors who will relentlessly pursue the players until they are defeated."
War_Battlefield_Tactics,War,Battlefield Tactics,10.0,"War-themed dungeons feature strategic encounters where players must utilize tactical positioning and coordination. Enemies may employ formations, flanking maneuvers, or defensive barriers that require players to adapt their approach."
War_Blood_Debt,War,Blood Debt,10.0,"Players start the dungeon owing a ""blood debt"" to a war god. As they kill enemies, they reduce the debt, gaining blessings. However, if they fail to pay off the debt by the end, they are cursed with a powerful debuff during the boss fight."
War_Blood_Forged_Champions,War,Blood-Forged Champions,10.0,"Elite enemies absorb the strength of nearby dying allies, growing stronger and potentially transforming into a mini-boss."
War_Commander_s_Aura,War,Commander's Aura,5.0,"Certain elite enemies act as commanders, providing buffs (e.g., increased health, damage, or resistance) to nearby allies."
War_Field_Medic,War,Field Medic,10.0,"An elite ""Medic"" enemy is present on each floor. It does not attack, but constantly heals all other enemies in a large radius. This forces the player to prioritize a non-threatening enemy."
War_March_of_Progress,War,March of Progress,10.0,"Each floor, enemies damage increases by 10%. Killing the Commander in each level will increase the player's armor by 10%. If the player skips killing too many commanders, they may find they can't withstand the increasing damage."
War_Morale_Break,War,Morale Break,5.0,"Certain enemies panic and flee when their leader dies, but if allowed to escape, they return later with reinforcements."
War_War_Banner,War,War Banner,10.0,"Players can plant a ""War Banner"" that grants significant buffs in a radius but also attracts waves of enemies. The banner must be defended for a certain period to gain its full benefits."
War_Artillery_Strike,War,Artillery Strike,5.0,"Every 30 seconds, a massive red circle appears on the ground. A powerful artillery strike will land in that circle, dealing massive damage to everything inside. Enemies and players can be hit, creating a strategic element of using the enemy's own weapons against them."
War_Fog_of_War,War,Fog of War,5.0,"Vision is limited by a thick battlefield fog. Players can only see a short distance ahead, making ambushes frequent and navigating difficult."
War_Warzone_Control_Points,War,Warzone Control Points,10.0,"Dungeons in the War cataclysm feature control points that players must capture and hold against waves of enemies. Holding these points provides strategic advantages, such as summoning allied soldiers, gaining access to powerful buffs, or opening shortcuts to progress deeper into the dungeon."
