Name,Tree,Source,Target,RequiredPoints
Berserker_e_twoh_009_twoh_012,Berserker,Berserker_twoh_009,Berserker_twoh_012,2
Berserker_e_twoh_010_twoh_013,Berserker,Berserker_twoh_010,Berserker_twoh_013,2
Berserker_e_twoh_011_twoh_014,Berserker,Berserker_twoh_011,Berserker_twoh_014,2
Berserker_e_twoh_012_twoh_015,Berserker,Berserker_twoh_012,Berserker_twoh_015,2
Berserker_e_twoh_013_twoh_016,Berserker,Berserker_twoh_013,Berserker_twoh_016,2
Berserker_e_twoh_014_twoh_ks_001,Berserker,Berserker_twoh_014,Berserker_twoh_ks_001,12
Berserker_e_twoh_015_twoh_ks_002,Berserker,Berserker_twoh_015,Berserker_twoh_ks_002,12
Berserker_e_twoh_016_twoh_ks_003,Berserker,Berserker_twoh_016,Berserker_twoh_ks_003,6
Berserker_e_dw_001_dw_002,Berserker,Berserker_dw_001,Berserker_dw_002,1
Berserker_e_dw_001_dw_003,Berserker,Berserker_dw_001,Berserker_dw_003,1
Berserker_e_dw_002_dw_004,Berserker,Berserker_dw_002,Berserker_dw_004,2
Berserker_e_dw_003_dw_007,Berserker,Berserker_dw_003,Berserker_dw_007,2
Berserker_e_dw_003_dw_005,Berserker,Berserker_dw_003,Berserker_dw_005,2
Berserker_e_dw_004_dw_006,Berserker,Berserker_dw_004,Berserker_dw_006,2
Berserker_e_dw_005_dw_008,Berserker,Berserker_dw_005,Berserker_dw_008,2
Berserker_e_dw_007_dw_009,Berserker,Berserker_dw_007,Berserker_dw_009,2
Berserker_e_dw_006_dw_010,Berserker,Berserker_dw_006,Berserker_dw_010,2
Berserker_e_dw_008_dw_011,Berserker,Berserker_dw_008,Berserker_dw_011,2
Berserker_e_dw_009_dw_012,Berserker,Berserker_dw_009,Berserker_dw_012,2
Berserker_e_dw_010_dw_013,Berserker,Berserker_dw_010,Berserker_dw_013,2
Berserker_e_dw_011_dw_015,Berserker,Berserker_dw_011,Berserker_dw_015,2
Berserker_e_dw_012_dw_018,Berserker,Berserker_dw_012,Berserker_dw_018,2
Berserker_e_dw_013_dw_016,Berserker,Berserker_dw_013,Berserker_dw_016,2
Berserker_e_dw_013_dw_014,Berserker,Berserker_dw_013,Berserker_dw_014,2
Berserker_e_dw_015_dw_017,Berserker,Berserker_dw_015,Berserker_dw_017,2
Berserker_e_dw_016_dw_ks_001,Berserker,Berserker_dw_016,Berserker_dw_ks_001,12
Berserker_e_dw_017_dw_ks_003,Berserker,Berserker_dw_017,Berserker_dw_ks_003,6
Berserker_e_crit_001_crit_002,Berserker,Berserker_crit_001,Berserker_crit_002,2
Berserker_e_crit_002_crit_003,Berserker,Berserker_crit_002,Berserker_crit_003,2
Berserker_e_crit_002_crit_004,Berserker,Berserker_crit_002,Berserker_crit_004,2
Berserker_e_crit_003_crit_005,Berserker,Berserker_crit_003,Berserker_crit_005,2
Berserker_e_crit_004_crit_ks_001,Berserker,Berserker_crit_004,Berserker_crit_ks_001,6
Berserker_e_crit_005_crit_ks_002,Berserker,Berserker_crit_005,Berserker_crit_ks_002,6
Berserker_e_leech_001_leech_002,Berserker,Berserker_leech_001,Berserker_leech_002,8
Berserker_e_leech_001_leech_003,Berserker,Berserker_leech_001,Berserker_leech_003,2
Berserker_e_leech_003_leech_005,Berserker,Berserker_leech_003,Berserker_leech_005,2
Berserker_e_leech_005_leech_006,Berserker,Berserker_leech_005,Berserker_leech_006,2
Berserker_e_trunk_008_twoh_001,Berserker,Berserker_trunk_008,Berserker_twoh_001,2
Berserker_e_trunk_009_dw_001,Berserker,Berserker_trunk_009,Berserker_dw_001,2
Berserker_e_trunk_010_leech_001,Berserker,Berserker_trunk_010,Berserker_leech_001,2
Berserker_e_leech_005_leech_004,Berserker,Berserker_leech_005,Berserker_leech_004,6
Berserker_e_twoh_009_twoh_011,Berserker,Berserker_twoh_009,Berserker_twoh_011,2
Berserker_e_trunk_009_crit_001,Berserker,Berserker_trunk_009,Berserker_crit_001,2
Berserker_e_leech_006_trunk_006,Berserker,Berserker_leech_006,Berserker_trunk_006,10
Berserker_e_trunk_002_leech_ks_001,Berserker,Berserker_trunk_002,Berserker_leech_ks_001,8
Berserker_e_trunk_003_dw_001_bypass,Berserker,Berserker_trunk_003,Berserker_dw_001,2
Berserker_e_trunk_002_trunk_008_bypass,Berserker,Berserker_trunk_002,Berserker_trunk_008,2
Berserker_edge_yUKcBl_eqZ,Berserker,Berserker_dw_018,Berserker_dw_ks_002,6
Berserker_edge_NN0VXqm7ok,Berserker,Berserker_dw_014,Berserker_dw_016,2
Berserker_edge_gAEwnMjS_4,Berserker,Berserker_leech_003,Berserker_crit_004,2
Berserker_edge_uhiMqjSeiW,Berserker,Berserker_trunk_010,Berserker_crit_001,2
Bulwark_e_1,Bulwark,Bulwark_basic_trunk_000,Bulwark_basic_trunk_003,1
Bulwark_e_2,Bulwark,Bulwark_basic_trunk_000,Bulwark_basic_trunk_004,1
Bulwark_e_3,Bulwark,Bulwark_basic_trunk_000,Bulwark_basic_trunk_005,1
Bulwark_e_4,Bulwark,Bulwark_basic_trunk_003,Bulwark_basic_trunk_001,3
Bulwark_e_5,Bulwark,Bulwark_basic_trunk_003,Bulwark_basic_trunk_007,3
Bulwark_e_7,Bulwark,Bulwark_basic_trunk_004,Bulwark_basic_trunk_006,2
Bulwark_e_9,Bulwark,Bulwark_basic_trunk_005,Bulwark_basic_jg_stem_001,2
Bulwark_e_10,Bulwark,Bulwark_basic_trunk_001,Bulwark_basic_trunk_002,2
Bulwark_e_11,Bulwark,Bulwark_basic_jg_stem_001,Bulwark_basic_jg_stem_002,3
Bulwark_e_12,Bulwark,Bulwark_basic_trunk_002,Bulwark_basic_trunk_008,2
Bulwark_e_13,Bulwark,Bulwark_basic_trunk_002,Bulwark_basic_ic_stem_003,2
Bulwark_e_14,Bulwark,Bulwark_basic_trunk_007,Bulwark_basic_trunk_009,2
Bulwark_e_16,Bulwark,Bulwark_basic_trunk_009,Bulwark_keystone_trunk_001,6
Bulwark_e_17,Bulwark,Bulwark_basic_trunk_009,Bulwark_basic_jg_t1_002,2
Bulwark_e_18,Bulwark,Bulwark_basic_jg_stem_001,Bulwark_basic_jg_stem_004,3
Bulwark_e_19,Bulwark,Bulwark_basic_jg_stem_002,Bulwark_basic_jg_resolve_001,2
Bulwark_e_20,Bulwark,Bulwark_basic_jg_stem_002,Bulwark_keystone_trunk_002,8
Bulwark_e_21,Bulwark,Bulwark_basic_trunk_008,Bulwark_basic_ic_t2_001,2
Bulwark_e_23,Bulwark,Bulwark_basic_ic_t2_001,Bulwark_basic_ic_stem_001,2
Bulwark_e_25,Bulwark,Bulwark_basic_jg_t1_002,Bulwark_basic_jg_t1_001,2
Bulwark_e_27,Bulwark,Bulwark_basic_jg_stem_004,Bulwark_basic_jg_stem_003,2
Bulwark_e_29,Bulwark,Bulwark_basic_jg_resolve_001,Bulwark_basic_jg_final_001,2
Bulwark_e_30,Bulwark,Bulwark_basic_jg_final_001,Bulwark_keystone_tw_t2,8
Bulwark_e_31,Bulwark,Bulwark_basic_ic_stem_001,Bulwark_basic_ic_stem_002,2
Bulwark_e_32,Bulwark,Bulwark_basic_ic_stem_001,Bulwark_basic_ic_resolve_001,2
Bulwark_e_33,Bulwark,Bulwark_basic_ic_t3_001,Bulwark_basic_ic_stem_005,2
Bulwark_e_34,Bulwark,Bulwark_basic_ic_t3_001,Bulwark_keystone_ic_t3,6
Bulwark_e_35,Bulwark,Bulwark_basic_jg_t1_001,Bulwark_basic_jg_t1_003,2
Bulwark_e_36,Bulwark,Bulwark_basic_jg_t1_003,Bulwark_basic_jg_t3_001,2
Bulwark_e_37,Bulwark,Bulwark_basic_jg_t1_003,Bulwark_basic_tw_stem_003,2
Bulwark_e_40,Bulwark,Bulwark_basic_tw_stem_001,Bulwark_basic_tw_stem_002,2
Bulwark_e_41,Bulwark,Bulwark_basic_tw_stem_002,Bulwark_basic_tw_t2_001,2
Bulwark_e_42,Bulwark,Bulwark_basic_tw_stem_002,Bulwark_basic_tw_t2_002,2
Bulwark_e_43,Bulwark,Bulwark_basic_ic_stem_002,Bulwark_basic_ic_t2_002,2
Bulwark_e_45,Bulwark,Bulwark_basic_ic_stem_005,Bulwark_keystone_trunk_003,6
Bulwark_e_46,Bulwark,Bulwark_basic_jg_t3_001,Bulwark_basic_jg_t3_002,3
Bulwark_e_47,Bulwark,Bulwark_basic_tw_stem_003,Bulwark_basic_tw_stem_005,2
Bulwark_e_48,Bulwark,Bulwark_basic_tw_stem_005,Bulwark_basic_tw_stem_004,2
Bulwark_e_49,Bulwark,Bulwark_basic_tw_t2_001,Bulwark_basic_tw_t2_003,2
Bulwark_e_51,Bulwark,Bulwark_basic_tw_t2_003,Bulwark_basic_tw_resolve_001,2
Bulwark_e_52,Bulwark,Bulwark_basic_ic_t2_002,Bulwark_basic_ic_t2_003,2
Bulwark_e_53,Bulwark,Bulwark_basic_ic_t2_002,Bulwark_keystone_ic_t2,6
Bulwark_e_56,Bulwark,Bulwark_basic_jg_t3_002,Bulwark_keystone_jg_t1,6
Bulwark_e_58,Bulwark,Bulwark_basic_tw_stem_004,Bulwark_basic_jg_t2_001,2
Bulwark_e_60,Bulwark,Bulwark_basic_tw_resolve_001,Bulwark_basic_tw_t3_001,2
Bulwark_e_61,Bulwark,Bulwark_basic_tw_t2_003,Bulwark_basic_tw_final_001,2
Bulwark_e_62,Bulwark,Bulwark_basic_ic_t2_003,Bulwark_basic_ic_t1_001,2
Bulwark_e_66,Bulwark,Bulwark_basic_jg_t2_001,Bulwark_basic_jg_stem_005,2
Bulwark_e_67,Bulwark,Bulwark_basic_jg_stem_005,Bulwark_basic_jg_t2_002,2
Bulwark_e_68,Bulwark,Bulwark_basic_jg_t2_002,Bulwark_basic_jg_t2_003,2
Bulwark_e_69,Bulwark,Bulwark_basic_tw_t3_001,Bulwark_basic_tw_t3_002,2
Bulwark_e_71,Bulwark,Bulwark_basic_ic_t1_001,Bulwark_basic_ic_t1_002,2
Bulwark_e_72,Bulwark,Bulwark_basic_ic_t1_002,Bulwark_basic_ic_t1_003,2
Bulwark_e_73,Bulwark,Bulwark_basic_ic_t1_003,Bulwark_keystone_ic_t1,8
Bulwark_e_75,Bulwark,Bulwark_basic_jg_t2_003,Bulwark_keystone_jg_t2,8
Bulwark_e_76,Bulwark,Bulwark_basic_tw_t1_001,Bulwark_basic_tw_t1_002,2
Bulwark_e_77,Bulwark,Bulwark_basic_tw_t1_001,Bulwark_basic_tw_t1_003,2
Bulwark_e_78,Bulwark,Bulwark_basic_tw_t1_003,Bulwark_keystone_tw_t1,8
Bulwark_e_80,Bulwark,Bulwark_basic_tw_t3_002,Bulwark_keystone_tw_t3,6
Bulwark_e_82,Bulwark,Bulwark_basic_tw_stem_004,Bulwark_basic_tw_t1_001,2
Bulwark_e_cp_barb,Bulwark,Bulwark_basic_jg_stem_003,Bulwark_basic_tw_stem_001,2
Bulwark_e_fix_1,Bulwark,Bulwark_basic_ic_stem_001,Bulwark_basic_ic_t3_001,2
Bulwark_e_fix_6,Bulwark,Bulwark_basic_tw_t1_002,Bulwark_keystone_jg_final,8
Bulwark_e_counter_aegis,Bulwark,Bulwark_basic_ic_t1_001,Bulwark_basic_ic_stem_004,2
Bulwark_e_aegis_indom,Bulwark,Bulwark_basic_ic_stem_004,Bulwark_basic_ic_final_001,2
Bulwark_e_ironwill_lf,Bulwark,Bulwark_basic_ic_resolve_001,Bulwark_basic_ic_t3_002,2
Bulwark_edge_VWwqCMCe7e,Bulwark,Bulwark_basic_ic_final_001,Bulwark_keystone_ic_final,10
Bulwark_edge_hzQLbu1KAR,Bulwark,Bulwark_basic_trunk_007,Bulwark_keystone_tw_final,10
Bulwark_edge_CfikHTNTib,Bulwark,Bulwark_basic_jg_stem_005,Bulwark_keystone_jg_t3,6
Saboteur_e_trunk_000_001,Saboteur,Saboteur_basic_trunk_000,Saboteur_basic_trunk_001,1
Saboteur_e_trunk_000_002,Saboteur,Saboteur_basic_trunk_000,Saboteur_basic_trunk_002,1
Saboteur_e_trunk_002_003,Saboteur,Saboteur_basic_trunk_002,Saboteur_basic_trunk_003,2
Saboteur_e_trunk_001_004,Saboteur,Saboteur_basic_trunk_001,Saboteur_basic_trunk_004,2
Saboteur_e_trunk_002_005,Saboteur,Saboteur_basic_trunk_002,Saboteur_basic_trunk_005,2
Saboteur_e_trunk_003_006,Saboteur,Saboteur_basic_trunk_003,Saboteur_basic_trunk_006,2
Saboteur_e_trunk_004_009,Saboteur,Saboteur_basic_trunk_004,Saboteur_basic_trunk_009,2
Saboteur_e_trunk_005_010,Saboteur,Saboteur_basic_trunk_005,Saboteur_basic_trunk_010,2
Saboteur_e_trunk_006_007,Saboteur,Saboteur_basic_trunk_006,Saboteur_basic_trunk_007,1
Saboteur_e_trunk_006_008,Saboteur,Saboteur_basic_trunk_006,Saboteur_basic_trunk_008,1
Saboteur_e_trunk_007_trap001,Saboteur,Saboteur_basic_trunk_007,Saboteur_basic_trap_stem_001,2
Saboteur_e_trap001_002,Saboteur,Saboteur_basic_trap_stem_001,Saboteur_basic_trap_stem_002,2
Saboteur_e_trap001_003,Saboteur,Saboteur_basic_trap_stem_001,Saboteur_basic_trap_stem_003,2
Saboteur_e_trap003_005,Saboteur,Saboteur_basic_trap_stem_003,Saboteur_basic_trap_stem_005,2
Saboteur_e_trap004_ql001,Saboteur,Saboteur_basic_trap_stem_004,Saboteur_basic_trap_ql_001,2
Saboteur_e_trap005_qty001,Saboteur,Saboteur_basic_trap_stem_005,Saboteur_basic_trap_qty_001,2
Saboteur_e_qty001_002,Saboteur,Saboteur_basic_trap_qty_001,Saboteur_basic_trap_qty_002,2
Saboteur_e_qty001_003,Saboteur,Saboteur_basic_trap_qty_001,Saboteur_basic_trap_qty_003,8
Saboteur_e_qty002_004,Saboteur,Saboteur_basic_trap_qty_002,Saboteur_basic_trap_qty_004,2
Saboteur_e_ql001_002,Saboteur,Saboteur_basic_trap_ql_001,Saboteur_basic_trap_ql_002,2
Saboteur_e_ql002_004,Saboteur,Saboteur_basic_trap_ql_002,Saboteur_basic_trap_ql_004,2
Saboteur_e_ql004_ks,Saboteur,Saboteur_basic_trap_ql_004,Saboteur_keystone_trap_ql,8
Saboteur_e_deep001_ks001,Saboteur,Saboteur_basic_trap_deep_001,Saboteur_keystone_trap_deep_001,6
Saboteur_e_deep002_ks002,Saboteur,Saboteur_basic_trap_deep_002,Saboteur_keystone_trap_deep_002,8
Saboteur_e_trunk_008_gad001,Saboteur,Saboteur_basic_trunk_008,Saboteur_basic_gadget_stem_001,2
Saboteur_e_gad001_002,Saboteur,Saboteur_basic_gadget_stem_001,Saboteur_basic_gadget_stem_002,2
Saboteur_e_gad001_003,Saboteur,Saboteur_basic_gadget_stem_001,Saboteur_basic_gadget_stem_003,2
Saboteur_e_gad002_004,Saboteur,Saboteur_basic_gadget_stem_002,Saboteur_basic_gadget_stem_004,2
Saboteur_e_gad003_005,Saboteur,Saboteur_basic_gadget_stem_003,Saboteur_basic_gadget_stem_005,2
Saboteur_e_gad004_sus001,Saboteur,Saboteur_basic_gadget_stem_004,Saboteur_basic_gadget_sus_001,2
Saboteur_e_gad005_dep001,Saboteur,Saboteur_basic_gadget_stem_005,Saboteur_basic_gadget_dep_001,2
Saboteur_e_dep001_002,Saboteur,Saboteur_basic_gadget_dep_001,Saboteur_basic_gadget_dep_002,2
Saboteur_e_dep001_003,Saboteur,Saboteur_basic_gadget_dep_001,Saboteur_basic_gadget_dep_003,2
Saboteur_e_dep002_004,Saboteur,Saboteur_basic_gadget_dep_002,Saboteur_basic_gadget_dep_004,2
Saboteur_e_dep003_005,Saboteur,Saboteur_basic_gadget_dep_003,Saboteur_basic_gadget_dep_005,2
Saboteur_e_sus001_002,Saboteur,Saboteur_basic_gadget_sus_001,Saboteur_basic_gadget_sus_002,2
Saboteur_e_sus001_003,Saboteur,Saboteur_basic_gadget_sus_001,Saboteur_basic_gadget_sus_003,8
Saboteur_e_sus002_004,Saboteur,Saboteur_basic_gadget_sus_002,Saboteur_basic_gadget_sus_004,2
Saboteur_e_sus004_ks,Saboteur,Saboteur_basic_gadget_sus_004,Saboteur_keystone_gadget_sus,6
Saboteur_e_deep001_002,Saboteur,Saboteur_basic_gadget_deep_001,Saboteur_basic_gadget_deep_002,2
Saboteur_e_qty004_deep002_alt,Saboteur,Saboteur_basic_trap_qty_004,Saboteur_basic_trap_deep_002,2
Saboteur_e_trunk_004_011,Saboteur,Saboteur_basic_trunk_004,Saboteur_basic_trunk_011,2
Saboteur_e_trunk_011_013,Saboteur,Saboteur_basic_trunk_011,Saboteur_basic_trunk_013,8
Saboteur_e_trunk_005_012,Saboteur,Saboteur_basic_trunk_005,Saboteur_basic_trunk_012,2
Saboteur_e_trunk_012_014,Saboteur,Saboteur_basic_trunk_012,Saboteur_basic_trunk_014,2
Saboteur_e_trap_mid002_mid001,Saboteur,Saboteur_basic_trap_mid_002,Saboteur_basic_trap_mid_001,2
Saboteur_e_trap_stem002_mid003,Saboteur,Saboteur_basic_trap_stem_002,Saboteur_basic_trap_mid_003,6
Saboteur_e_trap_stem001_mid006,Saboteur,Saboteur_basic_trap_stem_001,Saboteur_basic_trap_mid_006,2
Saboteur_e_trap_mid006_mid005,Saboteur,Saboteur_basic_trap_mid_006,Saboteur_basic_trap_mid_005,2
Saboteur_e_trap_ql_mid007,Saboteur,Saboteur_basic_trap_ql_004,Saboteur_basic_trap_mid_007,2
Saboteur_e_gad_stem002_mid001,Saboteur,Saboteur_basic_gadget_stem_002,Saboteur_basic_gadget_mid_001,2
Saboteur_e_gad_mid001_mid002,Saboteur,Saboteur_basic_gadget_mid_001,Saboteur_basic_gadget_mid_002,2
Saboteur_e_gad_trunk_mid003,Saboteur,Saboteur_basic_trunk_008,Saboteur_basic_gadget_mid_003,8
Saboteur_e_gad_stem003_mid005,Saboteur,Saboteur_basic_gadget_stem_003,Saboteur_basic_gadget_mid_005,6
Saboteur_e_gad_mid004_dep004,Saboteur,Saboteur_basic_gadget_sus_005,Saboteur_basic_gadget_mid_004,2
Saboteur_e_gad_deep002_mid006,Saboteur,Saboteur_basic_gadget_deep_002,Saboteur_basic_gadget_mid_006,2
Saboteur_e_gad_stem004_mid007,Saboteur,Saboteur_basic_gadget_stem_004,Saboteur_basic_gadget_mid_007,6
Saboteur_e_marked_phantom,Saboteur,Saboteur_basic_trap_ql_004,Saboteur_basic_trap_deep_001,2
Saboteur_e_vc_ambush,Saboteur,Saboteur_basic_trap_stem_003,Saboteur_basic_trap_stem_004,2
Saboteur_e_bleed_sprung,Saboteur,Saboteur_basic_trap_mid_005,Saboteur_basic_trap_mid_002,2
Saboteur_e_marked_hwexp,Saboteur,Saboteur_basic_trap_ql_004,Saboteur_basic_trap_mid_004,2
Saboteur_e_hwexp_op,Saboteur,Saboteur_basic_trap_mid_004,Saboteur_keystone_trap_qty,8
Saboteur_e_chain_delayed,Saboteur,Saboteur_basic_trap_qty_002,Saboteur_basic_trap_ql_003,2
Saboteur_e_vc_ce,Saboteur,Saboteur_basic_gadget_dep_003,Saboteur_basic_gadget_deep_001,2
Saboteur_e_red_army,Saboteur,Saboteur_basic_gadget_sus_005,Saboteur_keystone_gadget_deep_002,8
Saboteur_e_lsp_red,Saboteur,Saboteur_basic_gadget_dep_004,Saboteur_basic_gadget_sus_005,2
Saboteur_e_overclock_fob,Saboteur,Saboteur_basic_gadget_dep_002,Saboteur_keystone_gadget_dep,6
Saboteur_e_ce_scrap,Saboteur,Saboteur_basic_gadget_deep_001,Saboteur_basic_gadget_deep_003,2
Saboteur_e_sentry_mechfam,Saboteur,Saboteur_basic_gadget_mid_006,Saboteur_keystone_gadget_deep_001,6
Masochist_e_1,Masochist,Masochist_basic_spine_000,Masochist_basic_spine_001,1
Masochist_e_2,Masochist,Masochist_basic_spine_000,Masochist_basic_spine_002,1
Masochist_e_3,Masochist,Masochist_basic_spine_001,Masochist_basic_spine_003,6
Masochist_e_4,Masochist,Masochist_basic_spine_003,Masochist_basic_spine_004,6
Masochist_e_5,Masochist,Masochist_basic_spine_002,Masochist_basic_spine_005,3
Masochist_e_6,Masochist,Masochist_basic_spine_004,Masochist_basic_spine_006,5
Masochist_e_7,Masochist,Masochist_basic_spine_005,Masochist_basic_spine_007,5
Masochist_e_8,Masochist,Masochist_basic_spine_006,Masochist_basic_spine_008,4
Masochist_e_9,Masochist,Masochist_basic_spine_007,Masochist_basic_spine_009,4
Masochist_e_10,Masochist,Masochist_basic_spine_008,Masochist_basic_spine_010,4
Masochist_e_11,Masochist,Masochist_basic_spine_001,Masochist_keystone_spine_001,12
Masochist_e_12,Masochist,Masochist_basic_spine_004,Masochist_keystone_spine_002,10
Masochist_e_13,Masochist,Masochist_basic_spine_010,Masochist_keystone_spine_003,6
Masochist_e_14,Masochist,Masochist_basic_spine_008,Masochist_basic_fc_stem0,2
Masochist_e_15,Masochist,Masochist_basic_fc_stem0,Masochist_basic_fc_stem1,2
Masochist_e_16,Masochist,Masochist_basic_fc_stem1,Masochist_basic_fc_stem2,4
Masochist_e_17,Masochist,Masochist_basic_fc_stem1,Masochist_basic_fc_a0,2
Masochist_e_18,Masochist,Masochist_basic_fc_a0,Masochist_basic_fc_a1,2
Masochist_e_19,Masochist,Masochist_basic_fc_a1,Masochist_basic_fc_a2,4
Masochist_e_20,Masochist,Masochist_basic_fc_stem1,Masochist_basic_fc_b0,2
Masochist_e_21,Masochist,Masochist_basic_fc_b0,Masochist_basic_fc_b1,2
Masochist_e_22,Masochist,Masochist_basic_fc_b1,Masochist_basic_fc_b2,4
Masochist_e_23,Masochist,Masochist_basic_fc_stem2,Masochist_basic_fc_c0,4
Masochist_e_24,Masochist,Masochist_basic_fc_c0,Masochist_basic_fc_c1,4
Masochist_e_25,Masochist,Masochist_basic_fc_a2,Masochist_keystone_fc_kA,8
Masochist_e_26,Masochist,Masochist_basic_fc_b2,Masochist_keystone_fc_kB,8
Masochist_e_27,Masochist,Masochist_basic_fc_c1,Masochist_keystone_fc_kC,6
Masochist_e_28,Masochist,Masochist_basic_spine_009,Masochist_basic_ss_stem0,2
Masochist_e_29,Masochist,Masochist_basic_ss_stem0,Masochist_basic_ss_stem1,2
Masochist_e_30,Masochist,Masochist_basic_ss_stem1,Masochist_basic_ss_stem2,4
Masochist_e_31,Masochist,Masochist_basic_ss_stem1,Masochist_basic_ss_a0,2
Masochist_e_32,Masochist,Masochist_basic_ss_a0,Masochist_basic_ss_a1,2
Masochist_e_33,Masochist,Masochist_basic_ss_a1,Masochist_basic_ss_a2,4
Masochist_e_34,Masochist,Masochist_basic_ss_stem1,Masochist_basic_ss_b0,2
Masochist_e_35,Masochist,Masochist_basic_ss_b0,Masochist_basic_ss_b1,2
Masochist_e_36,Masochist,Masochist_basic_ss_b1,Masochist_basic_ss_b2,4
Masochist_e_37,Masochist,Masochist_basic_ss_stem2,Masochist_basic_ss_c0,4
Masochist_e_38,Masochist,Masochist_basic_ss_c0,Masochist_basic_ss_c1,4
Masochist_e_39,Masochist,Masochist_basic_ss_a2,Masochist_keystone_ss_kA,8
Masochist_e_40,Masochist,Masochist_basic_ss_b2,Masochist_keystone_ss_kB,8
Masochist_e_41,Masochist,Masochist_basic_ss_c1,Masochist_keystone_ss_kC,6
Masochist_e_42,Masochist,Masochist_basic_spine_001,Masochist_basic_fl_stem0,2
Masochist_e_43,Masochist,Masochist_basic_fl_stem0,Masochist_basic_fl_stem1,2
Masochist_e_44,Masochist,Masochist_basic_fl_stem1,Masochist_basic_fl_stem2,4
Masochist_e_45,Masochist,Masochist_basic_fl_stem1,Masochist_basic_fl_a0,2
Masochist_e_46,Masochist,Masochist_basic_fl_a0,Masochist_basic_fl_a1,2
Masochist_e_47,Masochist,Masochist_basic_fl_a1,Masochist_basic_fl_a2,4
Masochist_e_48,Masochist,Masochist_basic_fl_stem1,Masochist_basic_fl_b0,2
Masochist_e_49,Masochist,Masochist_basic_fl_b0,Masochist_basic_fl_b1,2
Masochist_e_50,Masochist,Masochist_basic_fl_b1,Masochist_basic_fl_b2,4
Masochist_e_51,Masochist,Masochist_basic_fl_stem2,Masochist_basic_fl_c0,4
Masochist_e_52,Masochist,Masochist_basic_fl_c0,Masochist_basic_fl_c1,4
Masochist_e_53,Masochist,Masochist_basic_fl_a2,Masochist_keystone_fl_kA,8
Masochist_e_54,Masochist,Masochist_basic_fl_b2,Masochist_keystone_fl_kB,8
Masochist_e_55,Masochist,Masochist_basic_fl_c1,Masochist_keystone_fl_kC,6
Masochist_e_56,Masochist,Masochist_basic_spine_002,Masochist_basic_ll_stem0,2
Masochist_e_57,Masochist,Masochist_basic_ll_stem0,Masochist_basic_ll_stem1,2
Masochist_e_58,Masochist,Masochist_basic_ll_stem1,Masochist_basic_ll_stem2,4
Masochist_e_59,Masochist,Masochist_basic_ll_stem1,Masochist_basic_ll_a0,2
Masochist_e_60,Masochist,Masochist_basic_ll_a0,Masochist_basic_ll_a1,2
Masochist_e_61,Masochist,Masochist_basic_ll_a1,Masochist_basic_ll_a2,4
Masochist_e_62,Masochist,Masochist_basic_ll_stem1,Masochist_basic_ll_b0,2
Masochist_e_63,Masochist,Masochist_basic_ll_b0,Masochist_basic_ll_b1,2
Masochist_e_64,Masochist,Masochist_basic_ll_b1,Masochist_basic_ll_b2,4
Masochist_e_65,Masochist,Masochist_basic_ll_stem2,Masochist_basic_ll_c0,4
Masochist_e_66,Masochist,Masochist_basic_ll_c0,Masochist_basic_ll_c1,4
Masochist_e_67,Masochist,Masochist_basic_ll_a2,Masochist_keystone_ll_kA,8
Masochist_e_68,Masochist,Masochist_basic_ll_b2,Masochist_keystone_ll_kB,8
Masochist_e_69,Masochist,Masochist_basic_ll_c1,Masochist_keystone_ll_kC,6
