Name,EffectKind,EffectName,Description,DurationSeconds,PercentOfHit
Debuff_Temporal_Debt,Debuff,Temporal Debt,A stacking debuff that freezes all your cooldowns for 5 seconds when it reaches 10 stacks.,0.0,0.0
Debuff_Withered_Touch,Debuff,Withered Touch,An effect that reduces player damage output and mana/energy shield for a short duration.,0.0,0.0
Debuff_Haunting,Debuff,Haunting,A debuff applied by a spectral copy of an enemy that reduces all of a player's resistances.,0.0,0.0
Debuff_Wither,Debuff,Wither,"A debuff that, at 10 stacks, reduces the player's movement and attack speed.",0.0,0.0
Debuff_Infernal_Brand,Debuff,Infernal Brand,"A stacking debuff that explodes at 5 stacks, dealing a large amount of fire damage to the player.",0.0,0.0
Debuff_Abyssal_Aura,Debuff,Abyssal Aura,A debuff that reduces the player's Demonic and War resistances by 25%.,0.0,0.0
Debuff_Starforged,Debuff,Starforged,A stacking debuff that reduces the player's damage and increases the damage they take.,0.0,0.0
Debuff_Nullifying,Debuff,Nullifying,"A debuff that removes a single, random buff from the player.",0.0,0.0
Debuff_Echoing,Debuff,Echoing,A stacking debuff that reduces the player's damage and movement speed.,0.0,0.0
Debuff_Reality_Bender,Debuff,Reality Bender,An effect that inflicts a random debuff on the player.,0.0,0.0
Debuff_The_Deceiver,Debuff,The Deceiver,A debuff applied to the player when an illusion is hit.,0.0,0.0
Debuff_Manic,Debuff,Manic,An aura of chaos that causes all nearby enemies to deal more damage but also take more damage.,0.0,0.0
Debuff_Toxic_Trail,Debuff,Toxic Trail,Enemies leave behind a poison cloud that applies a poison debuff.,0.0,0.0
Debuff_Battle_Cry,Debuff,Battle Cry,A terrifying shout that reduces the player's resistances or armor for 5 seconds.,0.0,0.0
Debuff_Contagion,Debuff,Contagion,A debuff that mirrors DoTs and debuffs back onto the player.,0.0,0.0
Debuff_Starving_Aura,Debuff,Starving Aura,An aura that reduces healing and health regeneration effects by 50%.,0.0,0.0
Debuff_Final_Curse,Debuff,Final Curse,"Upon death, this enemy curses the player for 5 seconds, causing them to take damage when using abilities.",0.0,0.0
Debuff_Shared_Pain,Debuff,Shared Pain,A debuff that distributes damage taken across nearby allies.,0.0,0.0
Debuff_Soul_Tether,Debuff,Soul Tether,A debuff that transfers a portion of damage taken to the player as health degeneration over time.,0.0,0.0
Debuff_Touch_of_Nothing,Debuff,Touch of Nothing,"When a player gains a buff, a stack of this debuff is consumed to negate that buff completely.",0.0,0.0
Debuff_Madness,Debuff,Madness,"A player-applied debuff. The affected enemy attacks anything nearby, friend or foe, for 3 seconds. Magnitude extends the duration. Applied by the Of Madness gem and the chance to madden affix.",0.0,0.0
Debuff_Cripple,Debuff,Cripple,"A player-applied debuff. Reduces the affected enemy's movement and attack speed by 30% for 4 seconds. Magnitude raises the reduction to a cap of 80%, then extends the duration instead. Applied by the Of Maiming gem and the chance to cripple affix.",0.0,0.0
Debuff_Shred,Debuff,Shred,"A player-applied debuff. Reduces the affected enemy's resistance by 10 for 6 seconds. Magnitude raises the reduction until that resistance reaches zero, then extends the duration instead. Applied by the Of Shredding gem and the chance to shred affix.",0.0,0.0
Debuff_Weaken,Debuff,Weaken,"A player-applied debuff. Reduces the affected enemy's damage by 20% for 5 seconds. Magnitude raises the reduction to a cap of 80%, then extends the duration instead. Distinct from Wither, which an enemy applies to the player and which reduces speed rather than damage. Applied by the Of Withering gem and the chance to weaken affix.",0.0,0.0
DoT_Bleed,DoT,Bleed,Applied by the Primal Instinct enchantment and the Of Rending gem.,0.0,0.0
DoT_Poison,DoT,Poison,Applied by the Toxic Trail enemy modifier and the Of The Viper gem.,0.0,0.0
DoT_Disease,DoT,Disease,Applied by the Raw Sewage dungeon modifier and the Of Rot gem.,0.0,0.0
DoT_Burn,DoT,Burn,A player-applied effect. Deals damage over time. One stack only. Magnitude scales the damage. Demonic skills apply it directly. Applied by the Of Embers gem and the chance to burn affix. The Infernal Brand and Hellfire Aura enemy modifiers apply it to the player.,4.0,20.0
DoT_Necrosis,DoT,Necrosis,A player-applied effect. Reduces the affected enemy's healing by 25% and deals damage over time for 5 seconds. One stack only. Magnitude scales the damage and the healing reduction; once that reduction reaches 100% it extends the duration instead.,0.0,0.0
DoT_Necrotic_Fog,DoT,Necrotic Fog,A dungeon modifier that deals damage over time.,0.0,0.0
DoT_Void_Splinter,DoT,Void Splinter,Deals 1% of current HP per second over 4 seconds. Applied by the Of The Abyss gem.,0.0,0.0
DoT_Void_Rift,DoT,Void Rift,Enemies create small void zones that deal heavy damage over time to the player.,0.0,0.0
