Name,Enchantment,Stat,ValueKind,ValueLow,ValueHigh,RequiredTags,Condition,ConditionValue,Scale,ScaleStep,Action,ActionEvent,FractionOf,ScaleMaxSteps,StackSeconds,ScaleOffset,EverySeconds,EveryNth,ScaleStepHigh
Positive_Your_heavy_attack_deals_30_60_increased_damage#2,Positive_Your_heavy_attack_deals_30_60_increased_damage,spell_damage,increased,30.0,60.0,Slot.Heavy,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_When_your_class_resource_is_full_critical_strik#1,Positive_When_your_class_resource_is_full_critical_strik,crit_chance,increased,15.0,30.0,,class_resource_at_maximum,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_skills_ignore_10_25_of_enemy_armor#1,Positive_Your_skills_ignore_10_25_of_enemy_armor,armor_penetration,flat,10.0,25.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_skills_ignore_10_25_of_enemy_resistances#1,Positive_Your_skills_ignore_10_25_of_enemy_resistances,penetration,flat,10.0,25.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Retaliation_damage_is_increased_by_50_100_whil#1,Positive_Retaliation_damage_is_increased_by_50_100_whil,retaliation,increased,50.0,100.0,,health_below,50.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_maximum_class_resource_is_increased_by_20#1,Positive_Your_maximum_class_resource_is_increased_by_20,class_resource,increased,20.0,40.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Melee_skills_deal_20_40_increased_damage#1,Positive_Melee_skills_deal_20_40_increased_damage,attack_damage,increased,20.0,40.0,Type.Melee,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Melee_skills_deal_20_40_increased_damage#2,Positive_Melee_skills_deal_20_40_increased_damage,spell_damage,increased,20.0,40.0,Type.Melee,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Ranged_skills_deal_20_40_increased_damage#1,Positive_Ranged_skills_deal_20_40_increased_damage,attack_damage,increased,20.0,40.0,Type.Ranged,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Ranged_skills_deal_20_40_increased_damage#2,Positive_Ranged_skills_deal_20_40_increased_damage,spell_damage,increased,20.0,40.0,Type.Ranged,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_retaliation_damage_is_increased_by_50_100#1,Positive_Your_retaliation_damage_is_increased_by_50_100,retaliation,increased,50.0,100.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Retaliation_damage_hits_all_enemies_within_3_5_m#1,Positive_Retaliation_damage_hits_all_enemies_within_3_5_m,retaliation_radius_metres,flat,3.0,5.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Spells_deal_20_40_increased_damage#1,Positive_Spells_deal_20_40_increased_damage,attack_damage,increased,20.0,40.0,Type.Spell,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Spells_deal_20_40_increased_damage#2,Positive_Spells_deal_20_40_increased_damage,spell_damage,increased,20.0,40.0,Type.Spell,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_below_30_HP_your_attack_speed_is_increase#1,Positive_While_below_30_HP_your_attack_speed_is_increase,attack_speed,increased,30.0,60.0,,health_below,30.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_below_40_HP_you_deal_30_60_increased_da#1,Positive_While_below_40_HP_you_deal_30_60_increased_da,attack_damage,increased,30.0,60.0,,health_below,40.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_below_40_HP_you_deal_30_60_increased_da#2,Positive_While_below_40_HP_you_deal_30_60_increased_da,spell_damage,increased,30.0,60.0,,health_below,40.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_below_25_HP_you_take_30_50_less_damage#1,Positive_While_below_25_HP_you_take_30_50_less_damage,damage_taken,more,-30.0,-50.0,,health_below,25.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_block_chance_is_increased_by_10_20#1,Positive_Your_block_chance_is_increased_by_10_20,block_chance,increased,10.0,20.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Gain_5_15_of_your_damage_as_health_leech#1,Positive_Gain_5_15_of_your_damage_as_health_leech,life_leech,flat,5.0,15.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Gain_30_50_more_armor#1,Positive_Gain_30_50_more_armor,armor,more,30.0,50.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Leech_50_100_more#1,Positive_Leech_50_100_more,life_leech,more,50.0,100.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Gain_20_50_movespeed#1,Positive_Gain_20_50_movespeed,movement_speed,increased,20.0,50.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_special_ability_has_20_40_increased_area#1,Positive_Your_special_ability_has_20_40_increased_area,area_of_effect,increased,20.0,40.0,Slot.Special,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_aura_affects_a_30_60_larger_area#1,Positive_Your_aura_affects_a_30_60_larger_area,area_of_effect,increased,30.0,60.0,Slot.Aura,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_energy_shield_recharges_30_60_faster#1,Positive_Your_energy_shield_recharges_30_60_faster,energy_shield_regen,increased,30.0,60.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_aura_radius_is_increased_by_30_60#1,Positive_Your_aura_radius_is_increased_by_30_60,area_of_effect,increased,30.0,60.0,Slot.Aura,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Spells_have_20_40_increased_area_of_effect#1,Positive_Spells_have_20_40_increased_area_of_effect,area_of_effect,increased,20.0,40.0,Type.Spell,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_below_35_HP_your_movement_speed_is_increa#1,Positive_While_below_35_HP_your_movement_speed_is_increa,movement_speed,increased,20.0,40.0,,health_below,35.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_take_20_35_more_damage#1,Negative_You_take_20_35_more_damage,damage_taken,more,20.0,35.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_deal_20_35_less_damage#1,Negative_You_deal_20_35_less_damage,attack_damage,more,-20.0,-35.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_deal_20_35_less_damage#2,Negative_You_deal_20_35_less_damage,spell_damage,more,-20.0,-35.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_take_15_25_more_damage_while_above_50_HP#1,Negative_You_take_15_25_more_damage_while_above_50_HP,damage_taken,more,15.0,25.0,,health_above,50.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_CC_effects_applied_to_you_last_40_70_longer#1,Negative_CC_effects_applied_to_you_last_40_70_longer,crowd_control_resistance,flat,-40.0,-70.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_are_permanently_slowed_by_10_20#1,Negative_You_are_permanently_slowed_by_10_20,movement_speed,more,-10.0,-20.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_attack_speed_is_reduced_by_20_35#1,Negative_Your_attack_speed_is_reduced_by_20_35,attack_speed,increased,-20.0,-35.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_take_20_35_increased_damage_while_above_75#1,Negative_You_take_20_35_increased_damage_while_above_75,damage_taken,increased,20.0,35.0,,health_above,75.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Each_skill_use_costs_an_additional_2_4_of_your#1,Negative_Each_skill_use_costs_an_additional_2_4_of_your,added_health_cost_of_current,flat,2.0,4.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Melee_damage_you_deal_is_reduced_by_15_30#1,Negative_Melee_damage_you_deal_is_reduced_by_15_30,attack_damage,increased,-15.0,-30.0,Type.Melee,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Melee_damage_you_deal_is_reduced_by_15_30#2,Negative_Melee_damage_you_deal_is_reduced_by_15_30,spell_damage,increased,-15.0,-30.0,Type.Melee,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_maximum_class_resource_is_reduced_by_20_40#1,Negative_Your_maximum_class_resource_is_reduced_by_20_40,class_resource,increased,-20.0,-40.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Debuffs_applied_to_you_last_30_50_longer#1,Negative_Debuffs_applied_to_you_last_30_50_longer,debuff_duration_taken,increased,30.0,50.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_retaliation_damage_is_reduced_by_50_75#1,Negative_Your_retaliation_damage_is_reduced_by_50_75,retaliation,increased,-50.0,-75.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Mana_regeneration_is_reduced_by_50_75#1,Negative_Mana_regeneration_is_reduced_by_50_75,mana_regen,increased,-50.0,-75.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Retaliation_damage_is_reduced_by_50_75#1,Negative_Retaliation_damage_is_reduced_by_50_75,retaliation,increased,-50.0,-75.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_have_25_50_less_crit_chance#1,Negative_You_have_25_50_less_crit_chance,crit_chance,more,-25.0,-50.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_block_chance_is_reduced_by_20_40#1,Negative_Your_block_chance_is_reduced_by_20_40,block_chance,increased,-20.0,-40.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_lose_10_20_movespeed#1,Negative_You_lose_10_20_movespeed,movement_speed,increased,-10.0,-20.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Lose_5_15_attack_speed#1,Negative_Lose_5_15_attack_speed,attack_speed,increased,-5.0,-15.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_have_10_20_less_chance_to_evade#1,Negative_You_have_10_20_less_chance_to_evade,evasion,more,-10.0,-20.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_retaliation_damage_scales_with_your_current#1,Positive_Your_retaliation_damage_scales_with_your_current,retaliation,increased,1.0,1.0,,,0.0,health_missing,2.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Archon_s_Aegis_2_Piece_Bonus_Your_block_chanc#1,Positive_Archon_s_Aegis_2_Piece_Bonus_Your_block_chanc,block_chance,increased,25.0,25.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_movement_speed_is_reduced_by_10#1,Negative_Your_movement_speed_is_reduced_by_10,movement_speed,increased,-10.0,-10.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Mana_Weaver_2_Piece_Bonus_Your_maximum_mana_i#1,Positive_Mana_Weaver_2_Piece_Bonus_Your_maximum_mana_i,max_mana,increased,20.0,20.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_All_mana_regeneration_effects_are_reduced_by_50#1,Negative_All_mana_regeneration_effects_are_reduced_by_50,mana_regen,increased,-50.0,-50.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Divine_Retribution_2_Piece_Bonus_Your_energy#1,Positive_Divine_Retribution_2_Piece_Bonus_Your_energy,max_energy_shield,increased,25.0,25.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_health_is_reduced_by_10#1,Negative_Your_health_is_reduced_by_10,max_health,increased,-10.0,-10.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Warlord_s_Will_2_Piece_Bonus_Your_armor_is_in#1,Positive_Warlord_s_Will_2_Piece_Bonus_Your_armor_is_in,armor,increased,25.0,25.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_movement_speed_is_reduced_by_10_1#1,Negative_Your_movement_speed_is_reduced_by_10_1,movement_speed,increased,-10.0,-10.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_You_take_20_40_less_damage_from_Boss_enemies#1,Positive_You_take_20_40_less_damage_from_Boss_enemies,damage_taken,more,-20.0,-40.0,,opponent_is_boss,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_You_take_20_40_less_damage_from_spells#1,Positive_You_take_20_40_less_damage_from_spells,damage_taken,more,-20.0,-40.0,,hit_is_spell,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_You_take_15_30_less_damage_from_melee_attacks#1,Positive_You_take_15_30_less_damage_from_melee_attacks,damage_taken,more,-15.0,-30.0,,hit_is_melee_attack,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_You_take_5_20_less_damage_from_melee_attacks#1,Positive_You_take_5_20_less_damage_from_melee_attacks,damage_taken,more,-5.0,-20.0,,hit_is_melee_attack,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_take_20_35_more_damage_from_melee_attacks#1,Negative_You_take_20_35_more_damage_from_melee_attacks,damage_taken,more,20.0,35.0,,hit_is_melee_attack,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_take_20_35_increased_damage_from_spells#1,Negative_You_take_20_35_increased_damage_from_spells,damage_taken,increased,20.0,35.0,,hit_is_spell,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_take_15_25_increased_damage_from_Boss_enem#1,Negative_You_take_15_25_increased_damage_from_Boss_enem,damage_taken,increased,15.0,25.0,,opponent_is_boss,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Take_10_20_more_damage_from_Boss_enemies#1,Negative_Take_10_20_more_damage_from_Boss_enemies,damage_taken,more,10.0,20.0,,opponent_is_boss,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_take_10_30_more_damage_from_ranged_attacks#1,Negative_You_take_10_30_more_damage_from_ranged_attacks,damage_taken,more,10.0,30.0,,hit_is_ranged_attack,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Brute_s_Heart_2_Piece_Bonus_You_gain_25_incr#1,Positive_Brute_s_Heart_2_Piece_Bonus_You_gain_25_incr,attack_damage,increased,25.0,25.0,,target_within_metres,5.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Brute_s_Heart_2_Piece_Bonus_You_gain_25_incr#2,Positive_Brute_s_Heart_2_Piece_Bonus_You_gain_25_incr,spell_damage,increased,25.0,25.0,,target_within_metres,5.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_take_10_more_damage_from_all_sources#1,Negative_You_take_10_more_damage_from_all_sources,damage_taken,more,10.0,10.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Demon_King_s_Regalia_2_Piece_Bonus_You_deal_2#1,Positive_Demon_King_s_Regalia_2_Piece_Bonus_You_deal_2,attack_damage,more,25.0,25.0,,target_within_metres,5.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Demon_King_s_Regalia_2_Piece_Bonus_You_deal_2#2,Positive_Demon_King_s_Regalia_2_Piece_Bonus_You_deal_2,spell_damage,more,25.0,25.0,,target_within_metres,5.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Ranged_attacks_deal_20_more_damage_to_you#1,Negative_Ranged_attacks_deal_20_more_damage_to_you,damage_taken,more,20.0,20.0,,hit_is_ranged_attack,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Staggered_enemies_take_20_35_increased_damage#1,Positive_Staggered_enemies_take_20_35_increased_damage,attack_damage,increased,20.0,35.0,,target_is_staggered,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Staggered_enemies_take_20_35_increased_damage#2,Positive_Staggered_enemies_take_20_35_increased_damage,spell_damage,increased,20.0,35.0,,target_is_staggered,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Staggered_enemies_deal_15_30_increased_damage#1,Negative_Staggered_enemies_deal_15_30_increased_damage,damage_taken,increased,15.0,30.0,,opponent_is_staggered,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_cannot_use_movement_abilities_while_stationa#1,Negative_You_cannot_use_movement_abilities_while_stationa,skill_locked,flat,1.0,1.0,Slot.Movement,stationary_for_seconds,2.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Stagger_effects_you_apply_last_50_100_longer#1,Positive_Stagger_effects_you_apply_last_50_100_longer,stagger_duration,increased,50.0,100.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_cannot_stagger_enemies_above_50_HP#1,Negative_You_cannot_stagger_enemies_above_50_HP,stagger_health_ceiling_reduction,flat,50.0,50.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_moving_you_take_10_20_less_damage#1,Positive_While_moving_you_take_10_20_less_damage,damage_taken,more,-10.0,-20.0,,while_moving,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_stationary_you_take_15_30_less_damage#1,Positive_While_stationary_you_take_15_30_less_damage,damage_taken,more,-15.0,-30.0,,while_stationary,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_While_moving_your_skills_deal_15_25_less_damag#1,Negative_While_moving_your_skills_deal_15_25_less_damag,attack_damage,more,-15.0,-25.0,,while_moving,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_While_moving_your_skills_deal_15_25_less_damag#2,Negative_While_moving_your_skills_deal_15_25_less_damag,spell_damage,more,-15.0,-25.0,,while_moving,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_ultimate_ability_deals_30_50_less_damage#1,Negative_Your_ultimate_ability_deals_30_50_less_damage,attack_damage,more,-30.0,-50.0,Slot.Ultimate,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_ultimate_ability_deals_30_50_less_damage#2,Negative_Your_ultimate_ability_deals_30_50_less_damage,spell_damage,more,-30.0,-50.0,Slot.Ultimate,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_melee_attacks_deal_10_30_less_damage#1,Negative_Your_melee_attacks_deal_10_30_less_damage,attack_damage,more,-10.0,-30.0,Type.Melee,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_melee_attacks_deal_10_30_less_damage#2,Negative_Your_melee_attacks_deal_10_30_less_damage,spell_damage,more,-10.0,-30.0,Type.Melee,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Charge_skills_deal_20_35_less_damage_on_impact#1,Negative_Charge_skills_deal_20_35_less_damage_on_impact,attack_damage,more,-20.0,-35.0,Keyword.Charge,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Charge_skills_deal_20_35_less_damage_on_impact#2,Negative_Charge_skills_deal_20_35_less_damage_on_impact,spell_damage,more,-20.0,-35.0,Keyword.Charge,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Spells_deal_20_35_less_damage_while_you_are_mo#1,Negative_Spells_deal_20_35_less_damage_while_you_are_mo,attack_damage,more,-20.0,-35.0,Type.Spell,while_moving,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Spells_deal_20_35_less_damage_while_you_are_mo#2,Negative_Spells_deal_20_35_less_damage_while_you_are_mo,spell_damage,more,-20.0,-35.0,Type.Spell,while_moving,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Ranged_skills_deal_15_30_less_damage_at_close#1,Negative_Ranged_skills_deal_15_30_less_damage_at_close,attack_damage,more,-15.0,-30.0,Type.Ranged,target_within_metres,5.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Ranged_skills_deal_15_30_less_damage_at_close#2,Negative_Ranged_skills_deal_15_30_less_damage_at_close,spell_damage,more,-15.0,-30.0,Type.Ranged,target_within_metres,5.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_When_your_class_resource_is_full_your_movement#1,Positive_When_your_class_resource_is_full_your_movement,movement_speed,increased,15.0,30.0,,class_resource_at_maximum,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Your_ultimate_ability_cannot_be_used_unless_you#1,Negative_Your_ultimate_ability_cannot_be_used_unless_you,skill_locked,flat,1.0,1.0,Slot.Ultimate,health_at_or_above,50.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Charge_skills_knock_down_enemies_they_hit_for_1#1,Positive_Charge_skills_knock_down_enemies_they_hit_for_1,knockdown_seconds,flat,1.0,2.0,Keyword.Charge,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Spell_critical_strikes_deal_50_100_increased_d#1,Positive_Spell_critical_strikes_deal_50_100_increased_d,crit_multiplier,increased,50.0,100.0,Type.Spell,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Spells_ignore_15_30_of_enemy_resistances#1,Positive_Spells_ignore_15_30_of_enemy_resistances,penetration,flat,15.0,30.0,Type.Spell,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_DoTs_ignore_20_40_of_enemy_resistances#1,Positive_Your_DoTs_ignore_20_40_of_enemy_resistances,penetration,flat,20.0,40.0,Keyword.DoT,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Armor_is_halved_against_ranged_attacks#1,Negative_Armor_is_halved_against_ranged_attacks,armor,more,-50.0,-50.0,,hit_is_ranged_attack,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_armor_is_doubled_against_melee_attacks#1,Positive_Your_armor_is_doubled_against_melee_attacks,armor,more,100.0,100.0,,hit_is_melee_attack,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_moving_your_evasion_chance_is_increased_b#1,Positive_While_moving_your_evasion_chance_is_increased_b,evasion,increased,10.0,20.0,,while_moving,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_moving_your_DoTs_deal_20_40_increased_d#1,Positive_While_moving_your_DoTs_deal_20_40_increased_d,dot_damage,increased,20.0,40.0,,while_moving,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_below_50_HP_your_leech_is_doubled#1,Positive_While_below_50_HP_your_leech_is_doubled,life_leech,more,100.0,100.0,,health_below,50.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_While_moving_your_leech_is_increased_by_20_40#1,Positive_While_moving_your_leech_is_increased_by_20_40,life_leech,increased,20.0,40.0,,while_moving,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Using_your_ultimate_ability_drains_20_40_of_yo#1,Negative_Using_your_ultimate_ability_drains_20_40_of_yo,added_health_cost,flat,20.0,40.0,Slot.Ultimate,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Melee_skills_cost_5_10_of_your_maximum_HP_to_u#1,Negative_Melee_skills_cost_5_10_of_your_maximum_HP_to_u,added_health_cost,flat,5.0,10.0,Type.Melee,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Summoned_minions_cost_10_20_of_your_maximum_HP#1,Negative_Summoned_minions_cost_10_20_of_your_maximum_HP,added_health_cost,flat,10.0,20.0,Keyword.Summon,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Strike_skills_cost_5_10_of_your_current_HP_to#1,Negative_Strike_skills_cost_5_10_of_your_current_HP_to,added_health_cost_of_current,flat,5.0,10.0,Type.Strike,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_Healing_effects_are_reduced_by_50_75#1,Negative_Healing_effects_are_reduced_by_50_75,healing_received_reduction,flat,50.0,75.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_deal_25_40_less_damage_to_enemies_below_50#1,Negative_You_deal_25_40_less_damage_to_enemies_below_50,attack_damage,more,-25.0,-40.0,,target_health_below,50.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_deal_25_40_less_damage_to_enemies_below_50#2,Negative_You_deal_25_40_less_damage_to_enemies_below_50,spell_damage,more,-25.0,-40.0,,target_health_below,50.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
