Name,WeaponType,DamageType,Slot,SkillName,SkillDescription,Tags,Shape,ShapeParams,CritChancePercent,DamagePercent,Cooldown,ManaCost
Famine_Sword_Heavy,Sword,Famine,Heavy,,,"Item.Weapon.Sword, Element.Famine, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Celestial_Sword_Ultimate,Sword,Celestial,Ultimate,,,"Item.Weapon.Sword, Element.Celestial, Slot.Ultimate",,,-1.0,-1.0,-1.0,-1.0
Demonic_Sword_Ultimate,Sword,Demonic,Ultimate,Extinction,"Put out every fire within 15 meters at once. Each burning enemy is consumed for 350% weapon damage, rising by 15% for every other enemy consumed in the same instant to a maximum of 500%. Anything still standing is set alight again.","Item.Weapon.Sword, Element.Demonic, Type.AOE.PointBlank, Keyword.Consume, Stat.Offense.Global, Keyword.DoT.Burn, Slot.Ultimate",Strike,Radius=15; Angle=360; Burn=1; ConsumeBurn=1; IncreasedDamagePer=15; ScalingSource=Consumed; MaxDamagePercent=500,-1.0,350.0,-1.0,-1.0
Pestilence_Sword_Ultimate,Sword,Pestilence,Ultimate,,,"Item.Weapon.Sword, Element.Pestilence, Slot.Ultimate",,,-1.0,-1.0,-1.0,-1.0
War_2H_Crossbow_Heavy,2H Crossbow,War,Heavy,Siege Bolt,"Fire a massive bolt that punches through up to 3 enemies in a line, dealing enormous damage to each. The bolt leaves a wound on every enemy it passes through, causing them to bleed for 10 seconds.","Item.Weapon.2HCrossbow, Element.War, Type.Projectile, Keyword.DoT.Bleed, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Sword_Ultimate,Sword,Death,Ultimate,,,"Item.Weapon.Sword, Element.Death, Slot.Ultimate",,,-1.0,-1.0,-1.0,-1.0
Chaos_Sword_Ultimate,Sword,Chaos,Ultimate,,,"Item.Weapon.Sword, Element.Chaos, Slot.Ultimate",,,-1.0,-1.0,-1.0,-1.0
Famine_Sword_Ultimate,Sword,Famine,Ultimate,,,"Item.Weapon.Sword, Element.Famine, Slot.Ultimate",,,-1.0,-1.0,-1.0,-1.0
Celestial_Sword_Movement,Sword,Celestial,Movement,,,"Item.Weapon.Sword, Element.Celestial, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
Demonic_Sword_Movement,Sword,Demonic,Movement,Flashpoint,"Dart to a burning enemy up to 14 meters away, consuming their fire on arrival to burst for damage in a 3 meter radius and set alight everything the burst catches. Only something already alight can be reached.","Item.Weapon.Sword, Element.Demonic, Type.Strike, Type.Melee, Keyword.Charge, Keyword.Consume, Keyword.DoT.Burn, Type.AOE.PointBlank, Slot.Movement",Movement,Mode=Charge; Range=14; Radius=3; Burn=1; Requires=Burning; ConsumeBurn=1,-1.0,-1.0,-1.0,-1.0
Pestilence_Sword_Movement,Sword,Pestilence,Movement,,,"Item.Weapon.Sword, Element.Pestilence, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
War_Greatsword_Heavy,Greatsword,War,Heavy,Executioner's Arc,"Swing your greatsword in a wide horizontal arc, hitting all enemies in a 180 degree cone in front of you. Enemies below 5% HP are instantly killed. Enemies above 90% HP are staggered for 1.5 seconds.","Item.Weapon.Greatsword, Element.War, Type.AOE.PointBlank, Type.Strike, Type.Melee, Keyword.CC, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Sword_Movement,Sword,Death,Movement,,,"Item.Weapon.Sword, Element.Death, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
Chaos_Sword_Movement,Sword,Chaos,Movement,,,"Item.Weapon.Sword, Element.Chaos, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
Famine_Sword_Movement,Sword,Famine,Movement,,,"Item.Weapon.Sword, Element.Famine, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
Celestial_Sword_Special,Sword,Celestial,Special,,,"Item.Weapon.Sword, Element.Celestial, Slot.Special",,,-1.0,-1.0,-1.0,-1.0
Demonic_Sword_Special,Sword,Demonic,Special,Touch Off,"Touch off every burning enemy within 8 meters at once. Each one's fire is consumed for a burst of damage in a 3 meter radius around them, and those bursts set alight anything they catch.","Item.Weapon.Sword, Element.Demonic, Type.AOE.PointBlank, Keyword.Consume, Keyword.DoT.Burn, Slot.Special",Strike,Radius=8; Angle=360; Burn=1; ConsumeBurn=1; ConsumeRadius=3; Requires=Burning,-1.0,-1.0,-1.0,-1.0
Pestilence_Sword_Special,Sword,Pestilence,Special,,,"Item.Weapon.Sword, Element.Pestilence, Slot.Special",,,-1.0,-1.0,-1.0,-1.0
War_Warhammer_Heavy,Warhammer,War,Heavy,Earthquake,"Slam your warhammer into the ground with tremendous force, sending a shockwave rippling outward in a 6 meter radius. Enemies caught in the shockwave are staggered for 0.5 seconds and have their armor reduced by 20% for 6 seconds. A fissure remains at the impact point dealing damage per second to enemies standing on it for 5 seconds.","Item.Weapon.Warhammer, Element.War, Type.AOE.PointBlank, Type.AOE.Persistent, Keyword.CC, Stat.Defense.Armor, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Sword_Special,Sword,Death,Special,,,"Item.Weapon.Sword, Element.Death, Slot.Special",,,-1.0,-1.0,-1.0,-1.0
Chaos_Sword_Special,Sword,Chaos,Special,,,"Item.Weapon.Sword, Element.Chaos, Slot.Special",,,-1.0,-1.0,-1.0,-1.0
Famine_Sword_Special,Sword,Famine,Special,,,"Item.Weapon.Sword, Element.Famine, Slot.Special",,,-1.0,-1.0,-1.0,-1.0
Celestial_Greatsword_Support,Greatsword,Celestial,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
Demonic_Greatsword_Support,Greatsword,Demonic,Support,Unbroken,Plant yourself for 10 seconds. While you do not move you gain 5% more damage every second and cannot be staggered. The whole bonus is lost the instant you take a step.,"Item.Weapon.Greatsword, Element.Demonic, Type.Buff, Stat.Offense.Global, Scope.WhileStationary, Keyword.Stagger, Slot.Support",SelfBuff,Duration=10; MoreDamagePer=5; ScalingSource=Second; Requires=Stationary; Immune=Displacement,-1.0,-1.0,-1.0,-1.0
Void_Greatsword_Support,Greatsword,Void,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
War_Axe_Heavy,Axe,War,Heavy,Cleaving Blow,Deliver a savage overhead chop that deals heavy damage and reduces the target's armor by 20% for 8 seconds. The blow has a 30% chance to cause a deep bleed.,"Item.Weapon.Axe, Element.War, Type.Strike, Type.Melee, Stat.Defense.Armor, Keyword.DoT.Bleed, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Greatsword_Support,Greatsword,Death,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
Chaos_Greatsword_Support,Greatsword,Chaos,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
Celestial_Greatsword_Heavy,Greatsword,Celestial,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
Demonic_Greatsword_Heavy,Greatsword,Demonic,Heavy,Backswing,"Draw the greatsword back and hold. Release at any time: the swing lands for 175% weapon damage at once, rising to 350% if you hold the full 2 seconds, and sets alight everything in a wide arc. You cannot move while holding, and being staggered loses the swing entirely.","Item.Weapon.Greatsword, Element.Demonic, Type.Strike, Type.Melee, Type.AOE.PointBlank, Scope.WhileStationary, Keyword.DoT.Burn, Slot.Heavy",Strike,Radius=4.5; Angle=140; Burn=1; ChargeTime=2; MinDamagePercent=175; MaxDamagePercent=350; ChargeBreaksOn=Stagger,-1.0,175.0,-1.0,-1.0
Void_Greatsword_Heavy,Greatsword,Void,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
War_Crossbow_Heavy,Crossbow,War,Heavy,Armor Piercing Bolt,"Fire a specially crafted bolt that ignores 40% of the target's armor, dealing heavy physical damage. If the bolt hits a gadget or trap you own, it overcharges it — the next time that gadget or trap fires it deals 50% bonus damage.","Item.Weapon.Crossbow, Element.War, Type.Projectile, Stat.Defense.Armor, Stat.Offense.Global, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Greatsword_Heavy,Greatsword,Death,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
Chaos_Greatsword_Heavy,Greatsword,Chaos,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
Celestial_Greatsword_Ultimate,Greatsword,Celestial,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
Demonic_Greatsword_Ultimate,Greatsword,Demonic,Ultimate,The Whole Weight,"Raise the greatsword and hold it for 3 seconds. You cannot move, act or be healed, and every hit you take during the wind-up adds 8% more damage to what follows, to a maximum of 500%. The blow lands for 350% weapon damage in a 9 meter arc and sets alight everything it touches. If you are killed during the wind-up, nothing lands at all.","Item.Weapon.Greatsword, Element.Demonic, Type.Strike, Type.AOE.PointBlank, Scope.WhileStationary, Stat.Offense.Global, Keyword.DoT.Burn, Trigger.OnDeath, Slot.Ultimate",Strike,Radius=9; Angle=180; Burn=1; ChargeTime=3; MoreDamagePer=8; ScalingSource=HitTaken; MaxDamagePercent=500; ChargeBreaksOn=Death,-1.0,350.0,-1.0,-1.0
Void_Greatsword_Ultimate,Greatsword,Void,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
War_Dagger_Heavy,Dagger,War,Heavy,Gut Wire,"Slash a razor-thin tripwire across the ground directly in front of you, instantly arming a close-range trap that triggers on the next enemy to cross it. The trap deals heavy bleed damage and applies bleed at double its normal damage.","Item.Weapon.Dagger, Element.War, Type.Strike, Type.Melee, Keyword.DoT.Bleed, Stat.Offense.Global, Type.Trap, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Greatsword_Ultimate,Greatsword,Death,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
Chaos_Greatsword_Ultimate,Greatsword,Chaos,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
Celestial_Greatsword_Movement,Greatsword,Celestial,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
Demonic_Greatsword_Movement,Greatsword,Demonic,Movement,Inexorable,"Begin an advance that cannot be turned aside. You charge 14 meters in 1.5 seconds, immune to crowd control and unable to change direction or stop, throwing aside and setting alight everything you pass through. The further you charged, the harder it hits.","Item.Weapon.Greatsword, Element.Demonic, Type.Strike, Type.Melee, Keyword.Charge, Keyword.Stagger, Keyword.DoT.Burn, Slot.Movement",Movement,Mode=Charge; Range=14; Radius=2.5; Duration=1.5; Burn=1; ChargeBreaksOn=None; MoreDamagePer=3; ScalingSource=Meter; Immune=CrowdControl,-1.0,-1.0,-1.0,-1.0
Void_Greatsword_Movement,Greatsword,Void,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
War_Fist_Heavy,Fist,War,Heavy,Haymaker,Wind up and deliver a devastating hook that deals massive damage to a single target and knocks them back 4 meters. If the target hits a wall or obstacle they take an additional 100% weapon damage from the impact.,"Item.Weapon.Fist, Element.War, Type.Strike, Type.Melee, Keyword.CC, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Greatsword_Movement,Greatsword,Death,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
Chaos_Greatsword_Movement,Greatsword,Chaos,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
Celestial_Greatsword_Special,Greatsword,Celestial,Special,,,Slot.Special,,,-1.0,-1.0,-1.0,-1.0
Demonic_Greatsword_Special,Greatsword,Demonic,Special,Buried Fire,Drive the greatsword into the ground and leave it there. It burns everything within 4 meters and grows hotter every second it stands. Pull it free within 10 seconds to erupt for damage that rises with how long you left it. You fight unarmed until you do.,"Item.Weapon.Greatsword, Element.Demonic, Type.AOE.Persistent, Type.AOE.PointBlank, Keyword.DoT.Burn, Stat.Offense.Global, Slot.Special",Strike,Radius=4; Angle=360; Burn=1; GroundRadius=4; GroundDuration=10; GroundPercent=10.0; MoreDamagePer=12; ScalingSource=Second; DisarmsUntilRecalled=1,-1.0,-1.0,-1.0,-1.0
Void_Greatsword_Special,Greatsword,Void,Special,,,Slot.Special,,,-1.0,-1.0,-1.0,-1.0
War_Shield_Heavy,Shield,War,Heavy,Shield Bash,"Slam your shield into an enemy with full force, dealing damage and stunning them for 1.5 seconds. If you have blocked an attack in the last 3 seconds, the bash also deals bonus damage equal to the amount blocked.","Item.Weapon.Shield, Element.War, Type.Strike, Type.Melee, Keyword.CC, Stat.Defense.Block, Slot.Heavy",Strike,Radius=2.5; Angle=60; MaxTargets=1; Effect=Stun; StunSeconds=1.5,-1.0,-1.0,-1.0,-1.0
Death_Greatsword_Special,Greatsword,Death,Special,,,Slot.Special,,,-1.0,-1.0,-1.0,-1.0
Chaos_Greatsword_Special,Greatsword,Chaos,Special,,,Slot.Special,,,-1.0,-1.0,-1.0,-1.0
Demonic_Dagger_Support,Dagger,Demonic,Support,Slipstream,For 8 seconds every enemy you strike from behind returns your movement skill to you at once. Blows landed from the front do nothing for it.,"Item.Weapon.Dagger, Element.Demonic, Type.Buff, Trigger.OnHit, Cooldown.Movement, Slot.Support",SelfBuff,Duration=8; Requires=RearHit; RefundsCooldown=Movement,-1.0,-1.0,-1.0,-1.0
Pestilence_Dagger_Support,Dagger,Pestilence,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
Void_Dagger_Support,Dagger,Void,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
War_Spear_Heavy,Spear,War,Heavy,Impaler,"Drive your spear into the ground with force, creating a spike trap that erupts from beneath the first enemy to walk over it, dealing heavy physical damage and pinning them in place for 2 seconds.","Item.Weapon.Spear, Element.War, Type.Strike, Type.Melee, Keyword.CC, Stat.Offense.Global, Type.Trap, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Dagger_Support,Dagger,Death,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
Chaos_Dagger_Support,Dagger,Chaos,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
Famine_Dagger_Support,Dagger,Famine,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
Demonic_Dagger_Heavy,Dagger,Demonic,Heavy,Emberpierce,"Drive the dagger into a single enemy and leave the heat behind in the wound, setting them alight. The strike deals 40% more damage from behind.","Item.Weapon.Dagger, Element.Demonic, Type.Strike, Type.Melee, Stat.Offense.Global, Keyword.DoT.Burn, Slot.Heavy",Strike,Radius=2.5; Angle=60; MaxTargets=1; Burn=1; MoreDamageFromBehind=40,-1.0,-1.0,-1.0,-1.0
Pestilence_Dagger_Heavy,Dagger,Pestilence,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
Void_Dagger_Heavy,Dagger,Void,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
War_Sword_Heavy,Sword,War,Heavy,Rending Strike,"Drive your sword forward in a powerful lunge that pierces through the target, dealing heavy damage and applying a deep wound that causes the target to bleed for 8 seconds. The wound reduces the target's armor by 15% for the duration.","Item.Weapon.Sword, Element.War, Type.Strike, Type.Melee, Keyword.DoT.Bleed, Stat.Defense.Armor, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Dagger_Heavy,Dagger,Death,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
Chaos_Dagger_Heavy,Dagger,Chaos,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
Famine_Dagger_Heavy,Dagger,Famine,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
Demonic_Dagger_Ultimate,Dagger,Demonic,Ultimate,Everywhere at Once,"For 4 seconds you are nowhere long enough to be hit. You flicker between every enemy within 10 meters, striking each from behind as you arrive for 30% weapon damage and setting them alight. Nothing can touch you between arrivals.","Item.Weapon.Dagger, Element.Demonic, Type.Strike, Type.Melee, Stat.Defense.Evasion, Keyword.DoT.Burn, Slot.Ultimate",Movement,Mode=Flicker; Range=10; Duration=4; Interval=0.33; Burn=1; RearHits=1; Untargetable=1,-1.0,30.0,-1.0,-1.0
Pestilence_Dagger_Ultimate,Dagger,Pestilence,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
Void_Dagger_Ultimate,Dagger,Void,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
War_Whip_Heavy,Whip,War,Heavy,Flaying Lash,"Crack your whip with full force against a target up to 6 meters away, dealing heavy damage and applying bleed at double its normal damage. The force of the blow also disarms the target, knocking their weapon aside for 2 seconds.","Item.Weapon.Whip, Element.War, Type.Strike, Type.Melee, Keyword.DoT.Bleed, Keyword.CC, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Dagger_Ultimate,Dagger,Death,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
Chaos_Dagger_Ultimate,Dagger,Chaos,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
Famine_Dagger_Ultimate,Dagger,Famine,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
Demonic_Dagger_Movement,Dagger,Demonic,Movement,Ashwalk,"Scatter into ash and reform up to 9 meters away, setting alight every enemy at the point you left and the point you arrive. Both points burn for 3 seconds.","Item.Weapon.Dagger, Element.Demonic, Type.AOE.Persistent, Keyword.DoT.Burn, Slot.Movement",Movement,Mode=Blink; Range=9; Radius=2; Burn=1; GroundRadius=2; GroundDuration=3; GroundPercent=33.3,-1.0,-1.0,-1.0,-1.0
Pestilence_Dagger_Movement,Dagger,Pestilence,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
Void_Dagger_Movement,Dagger,Void,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
War_Greataxe_Movement,Greataxe,War,Movement,Savage Leap,"Leap to a target location and slam down with your greataxe, dealing damage in a 5 meter radius on impact. Enemies struck are staggered and begin bleeding.","Item.Weapon.Greataxe, Element.War, Type.AOE.PointBlank, Keyword.DoT.Bleed, Keyword.CC, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
Death_Dagger_Movement,Dagger,Death,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
Chaos_Dagger_Movement,Dagger,Chaos,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
Famine_Dagger_Movement,Dagger,Famine,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
Demonic_Dagger_Special,Dagger,Demonic,Special,Echo,"Leave a burning after-image where you stand. For 8 seconds you may return to it from anywhere within 14 meters; the image bursts as you arrive, setting alight everything within 3 meters and leaving the ground burning for 4 seconds.","Item.Weapon.Dagger, Element.Demonic, Type.AOE.PointBlank, Type.AOE.Persistent, Keyword.DoT.Burn, Slot.Special",Movement,Mode=Recall; Range=14; Radius=3; Burn=1; EffectDuration=8; GroundRadius=3; GroundDuration=4; GroundPercent=25.0,-1.0,-1.0,-1.0,-1.0
Pestilence_Dagger_Special,Dagger,Pestilence,Special,,,Slot.Special,,,-1.0,-1.0,-1.0,-1.0
Void_Dagger_Special,Dagger,Void,Special,,,Slot.Special,,,-1.0,-1.0,-1.0,-1.0
War_2H_Crossbow_Movement,2H Crossbow,War,Movement,Recoil Dash,Fire a bolt point-blank into the ground and use the recoil to propel yourself backward 6 meters instantly. The fired bolt creates a small explosion on impact that knocks back nearby enemies.,"Item.Weapon.2HCrossbow, Element.War, Type.AOE.PointBlank, Keyword.CC, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
Death_Dagger_Special,Dagger,Death,Special,,,Slot.Special,,,-1.0,-1.0,-1.0,-1.0
Chaos_Dagger_Special,Dagger,Chaos,Special,,,Slot.Special,,,-1.0,-1.0,-1.0,-1.0
Famine_Dagger_Special,Dagger,Famine,Special,,,Slot.Special,,,-1.0,-1.0,-1.0,-1.0
Demonic_Axe_Support,Axe,Demonic,Support,Butcher's Heat,Work yourself into a butcher's heat for 8 seconds. Every enemy you kill while it lasts grants 1% more damage and adds another second to the heat. The bonus has no ceiling and ends when the heat does.,"Item.Weapon.Axe, Element.Demonic, Type.Buff, Stat.Offense.Global, Trigger.OnKill, Slot.Support",SelfBuff,Duration=8; MoreDamagePer=1; DurationPer=1; ScalingSource=Kill,-1.0,-1.0,-1.0,-1.0
War_Greatsword_Movement,Greatsword,War,Movement,Leaping Cleave,"Leap to a target location and slam your greatsword into the ground on landing, dealing damage in a 4 meter radius and knocking enemies back. The slam leaves a shockwave that briefly slows enemies caught in it.","Item.Weapon.Greatsword, Element.War, Type.AOE.PointBlank, Keyword.CC, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
Chaos_Axe_Support,Axe,Chaos,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
Famine_Axe_Support,Axe,Famine,Support,,,Slot.Support,,,-1.0,-1.0,-1.0,-1.0
Demonic_Axe_Heavy,Axe,Demonic,Heavy,Carom,"Hurl your axe at an enemy up to 11 meters away. It glances from them to the next nearest and onward through three more, setting each one alight, then returns to your hand. Every enemy it touches after the first adds 20% to its damage.","Item.Weapon.Axe, Element.Demonic, Type.Projectile, Keyword.DoT.Burn, Stat.Offense.Global, Slot.Heavy",Projectile,Range=11; Radius=1.2; Bounces=3; Returns=1; Speed=2000; Burn=1; IncreasedDamagePer=20; ScalingSource=Bounce,-1.0,-1.0,-1.0,-1.0
War_Warhammer_Movement,Warhammer,War,Movement,Shockwave Leap,"Leap to a target location and slam your hammer down on landing, creating a shockwave that deals damage and knocks back all enemies within 5 meters. The landing impact stuns enemies directly beneath you for 1 second.","Item.Weapon.Warhammer, Element.War, Type.AOE.PointBlank, Keyword.CC, Slot.Movement",Movement,Mode=Leap; Range=9; Radius=5; Knockback=3; Effect=Stun; StunSeconds=1,-1.0,-1.0,-1.0,-1.0
Chaos_Axe_Heavy,Axe,Chaos,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
Famine_Axe_Heavy,Axe,Famine,Heavy,,,Slot.Heavy,,,-1.0,-1.0,-1.0,-1.0
Demonic_Axe_Ultimate,Axe,Demonic,Ultimate,Butcher's Bill,"Empty the rack: thirty burning axes thrown over 10 seconds at every enemy within 10 meters, each one dealing 14% weapon damage and setting its target alight. A higher attack speed throws them faster and empties the rack sooner.","Item.Weapon.Axe, Element.Demonic, Type.Projectile, Type.Ranged, Keyword.DoT.Burn, Stat.Offense.Speed, Slot.Ultimate",Projectile,Range=10; Radius=1; Speed=2000; Burn=1; Count=30; Duration=10; Interval=0.333; TargetMode=All; ScalesWithAttackSpeed=1,-1.0,14.0,-1.0,-1.0
War_Axe_Movement,Axe,War,Movement,Headlong Charge,"Charge forward in a straight line, striking any enemy in your path and knocking them aside. The charge deals damage proportional to the distance traveled and applies a bleed to all struck enemies.","Item.Weapon.Axe, Element.War, Type.Strike, Type.Melee, Keyword.DoT.Bleed, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
Chaos_Axe_Ultimate,Axe,Chaos,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
Famine_Axe_Ultimate,Axe,Famine,Ultimate,,,Slot.Ultimate,,,-1.0,-1.0,-1.0,-1.0
Demonic_Axe_Movement,Axe,Demonic,Movement,Emberhaul,"Bury your axe in the first enemy within 12 meters and haul yourself to it, setting them alight and dragging a line of fire along the ground you crossed. If the arrival kills them, the axe comes back ready to throw again.","Item.Weapon.Axe, Element.Demonic, Type.Strike, Type.Melee, Keyword.Charge, Keyword.DoT.Burn, Type.AOE.Persistent, Trigger.OnKill, Slot.Movement",Movement,Mode=Charge; Range=12; Radius=1.5; Burn=1; GroundRadius=1.5; GroundDuration=4; GroundPercent=25.0; Requires=Target; RefundsCooldown=Self,-1.0,-1.0,-1.0,-1.0
War_Crossbow_Movement,Crossbow,War,Movement,Grapple,"Fire a grappling bolt at a surface or enemy within 15 meters. If fired at a surface, you are instantly pulled to that location and a trip mine is deployed at your departure point. If fired at an enemy, they are pulled to you and land on any active trap at your location.","Item.Weapon.Crossbow, Element.War, Keyword.CC, Type.Trap, Slot.Movement",,,-1.0,-1.0,-1.0,-1.0
Chaos_Axe_Movement,Axe,Chaos,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
Famine_Axe_Movement,Axe,Famine,Movement,,,Slot.Movement,,,-1.0,-1.0,-1.0,-1.0
